Tue Jun 12 21:32:49 +0000 2018,$WMT Trade Setup For Experienced Investors Right Here...  https://t.co/MPZzd3ESWa
Tue Jun 12 12:02:27 +0000 2018,$CSCO Cisco - Cisco Releases New Developer Capabilities Across Its Intent-Based Networking Platform\\nFrom our Stock News Alerts App
Tue Jun 12 09:39:56 +0000 2018,"Commonwealth Of Pennsylvania Public School Empls Retrmt Sys Has Raised Holding in Old Dominion Fght Lines $ODFL by $1.23 Million as Stock Rose; Cisco Sys Com $CSCO Stock Value Declined While Silvercrest Asset Management Group Has Trimmed by $378,378 Its Holding ..."
Tue Jun 12 09:32:15 +0000 2018,"Cisco Systems, Inc. (NASDAQ:CSCO) Shares Bought by Commonwealth of ... https://t.co/lxKwzLOmRG $CSCO #stocks #stockmarket"
Tue Jun 12 02:50:14 +0000 2018,Cisco expands its intent-based networking initiative into wide-area networks https://t.co/wym3NceteK $CSCO #stocks #stockmarket
Tue Jun 12 22:56:06 +0000 2018,AT&amp;T wins court approval to buy Time Warner over Trump opposition: https://t.co/x9LAJO8PiZ Read the opinion: https://t.co/hstTI3WynZ $T $TWX https://t.co/jPSRwR7x7W
Tue Jun 12 21:01:25 +0000 2018,MORE: AT&amp;T general counsel says looks forward to closing merger with Time Warner on or before June 20 $T $TWX https://t.co/ALAwPZqUIK
Tue Jun 12 21:10:06 +0000 2018,Instant view: AT&amp;T wins approval to buy Time Warner for $85 billion https://t.co/SlGELp9Vju $T $TWX https://t.co/kSNTSdjie1
Tue Jun 12 23:57:48 +0000 2018,Should Time Warner &amp; AT&amp;T be able to come together on the rationals that the FAANG stocks have too much power? $T $TWX #FAANG $FB $AAPL $AMZN $NFLX $GOOGL #M&amp;A #invest https://t.co/CLCTSNFQay
Tue Jun 12 23:57:47 +0000 2018,At&amp;t wins approval for Time Warner merger ! wonder how this will play out. $T or $TWX
Tue Jun 12 23:52:01 +0000 2018,Aftermarket trade ripples run wide from AT&amp;T/Time Warner decision https://t.co/xQsg8JzYUF $T $TWX $CMCSA $FOX
Tue Jun 12 23:49:33 +0000 2018,"AT&amp;T/Time Warner decision upcoming, with far-reaching ripples https://t.co/4zSLTcNuZ2 $T $TWX $DIS $FOX"
Tue Jun 12 23:48:55 +0000 2018,AT&amp;T win combines tremendous reach with vast TWX content https://t.co/cBLH1t2yLw $T $TWX
Tue Jun 12 23:48:38 +0000 2018,"RT @taralach: Randall Stephenson, welcome to Hollywood. Nope, still sounds weird. My take on the AT&amp;T-Time Warner ruling:  https://t.co/6It\\u2026"
Tue Jun 12 23:47:06 +0000 2018,Aftermarket trade ripples run wide from AT&amp;T/Time Warner decision https://t.co/a2qFq7lLSX $T $TWX $CMCSA $FOX
Tue Jun 12 23:45:50 +0000 2018,RT @Reuters: AT&amp;T wins court approval to buy Time Warner over Trump opposition: https://t.co/x9LAJO8PiZ Read the opinion: https://t.co/hstT\\u2026
Tue Jun 12 23:41:56 +0000 2018,"The AT&amp;amp;T Ruling Ripples Through Wall Street $T, $TWX, $CMCSA, $FOXA, $DIS, $CVS, $AET https://t.co/LOVAN1Tbuh via @TheStreet"
Tue Jun 12 23:33:01 +0000 2018,$T AT&amp;T and Time Warner Deal via https://t.co/jURZDymPXI
Tue Jun 12 23:32:44 +0000 2018,$T Will AT&amp;T bounce back over $36 anytime soon? How low will we see it go before recovering?
Tue Jun 12 23:29:07 +0000 2018,Landmark Court Ruling Buoy\\u2019s AT&amp;T-Time Warner Deal $T $TWX https://t.co/2OO0D8VeXi https://t.co/2OO0D8VeXi
Tue Jun 12 23:29:02 +0000 2018,Landmark Court Ruling Buoy\\u2019s AT&amp;T-Time Warner Deal $T $TWX https://t.co/2OO0D8VeXi
Tue Jun 12 23:28:46 +0000 2018,"RT @taralach: Randall Stephenson, welcome to Hollywood. Nope, still sounds weird. My take on the AT&amp;T-Time Warner ruling:  https://t.co/6It\\u2026"
Tue Jun 12 23:28:25 +0000 2018,"RT @taralach: Randall Stephenson, welcome to Hollywood. Nope, still sounds weird. My take on the AT&amp;T-Time Warner ruling:  https://t.co/6It\\u2026"
Tue Jun 12 23:28:06 +0000 2018,RT @Reuters: AT&amp;T wins court approval to buy Time Warner over Trump opposition: https://t.co/x9LAJO8PiZ Read the opinion: https://t.co/hstT\\u2026
Tue Jun 12 23:27:48 +0000 2018,"Randall Stephenson, welcome to Hollywood. Nope, still sounds weird. My take on the AT&amp;T-Time Warner ruling:  https://t.co/6It5hJ8I6k via @bopinion $T $TWX $CMCSA"
Tue Jun 12 23:26:17 +0000 2018,AT&amp;T wins court approval to buy Time Warner over Trump opposition: https://t.co/g1mWU8zuft Read the opinion: https://t.co/QtHZw1gCzM $T $TWX https://t.co/flw9viuyTO
Tue Jun 12 23:23:39 +0000 2018,RT @Reuters: AT&amp;T wins court approval to buy Time Warner over Trump opposition: https://t.co/x9LAJO8PiZ Read the opinion: https://t.co/hstT\\u2026
Tue Jun 12 23:23:01 +0000 2018,$T AT&amp;T Lawyer Says Merger Decision \'Sound and Proper\' via https://t.co/jURZDymPXI
Tue Jun 12 23:17:56 +0000 2018,"RT @StockTwits: It\'s official. AT&amp;T $T and Time Warner $TWX are allowed to merge. If you missed it, here are the best things people are say\\u2026"
Tue Jun 12 23:17:11 +0000 2018,@Michael_Khouw @OptionsAction @CNBCFastMoney @CNBC Bogus analysis\\n$T is down almost 3% and $TWX is up 4%. NOT normal at this stage or when buyer is 3-4x bigger than target\\nClearly market thinks AT&amp;T overpaid for a collapsing cable valuations (see $CHTR $CMCSA) Biggest winner is $FOX
Tue Jun 12 23:13:28 +0000 2018,RT @Reuters: AT&amp;T wins court approval to buy Time Warner over Trump opposition: https://t.co/x9LAJO8PiZ Read the opinion: https://t.co/hstT\\u2026
Tue Jun 12 23:13:26 +0000 2018,"RT @ampressman: Judge Leon gets at least one thing right. It\'s a $108 billion merger. Debt counts, too.\\n$T $TWX https://t.co/yZdGqDxxXM"
Tue Jun 12 23:09:16 +0000 2018,RT @Reuters: AT&amp;T wins court approval to buy Time Warner over Trump opposition: https://t.co/x9LAJO8PiZ Read the opinion: https://t.co/hstT\\u2026
Tue Jun 12 23:08:38 +0000 2018,RT @Reuters: AT&amp;T wins court approval to buy Time Warner over Trump opposition: https://t.co/x9LAJO8PiZ Read the opinion: https://t.co/hstT\\u2026
Tue Jun 12 23:08:24 +0000 2018,RT @Reuters: AT&amp;T wins court approval to buy Time Warner over Trump opposition: https://t.co/x9LAJO8PiZ Read the opinion: https://t.co/hstT\\u2026
Tue Jun 12 23:08:10 +0000 2018,RT @Reuters: AT&amp;T wins court approval to buy Time Warner over Trump opposition: https://t.co/x9LAJO8PiZ Read the opinion: https://t.co/hstT\\u2026
Tue Jun 12 23:06:39 +0000 2018,"RT @StockTwits: It\'s official. AT&amp;T $T and Time Warner $TWX are allowed to merge. If you missed it, here are the best things people are say\\u2026"
Tue Jun 12 23:04:22 +0000 2018,RT @Reuters: AT&amp;T wins court approval to buy Time Warner over Trump opposition: https://t.co/x9LAJO8PiZ Read the opinion: https://t.co/hstT\\u2026
Tue Jun 12 23:04:21 +0000 2018,RT @Reuters: AT&amp;T wins court approval to buy Time Warner over Trump opposition: https://t.co/x9LAJO8PiZ Read the opinion: https://t.co/hstT\\u2026
Tue Jun 12 23:04:05 +0000 2018,RT @Reuters: AT&amp;T wins court approval to buy Time Warner over Trump opposition: https://t.co/x9LAJO8PiZ Read the opinion: https://t.co/hstT\\u2026
Tue Jun 12 23:03:58 +0000 2018,RT @Reuters: AT&amp;T wins court approval to buy Time Warner over Trump opposition: https://t.co/x9LAJO8PiZ Read the opinion: https://t.co/hstT\\u2026
Tue Jun 12 23:03:51 +0000 2018,RT @Reuters: AT&amp;T wins court approval to buy Time Warner over Trump opposition: https://t.co/x9LAJO8PiZ Read the opinion: https://t.co/hstT\\u2026
Tue Jun 12 23:02:51 +0000 2018,RT @Reuters: AT&amp;T wins court approval to buy Time Warner over Trump opposition: https://t.co/x9LAJO8PiZ Read the opinion: https://t.co/hstT\\u2026
Tue Jun 12 23:02:44 +0000 2018,RT @Reuters: AT&amp;T wins court approval to buy Time Warner over Trump opposition: https://t.co/x9LAJO8PiZ Read the opinion: https://t.co/hstT\\u2026
Tue Jun 12 23:02:38 +0000 2018,RT @Reuters: AT&amp;T wins court approval to buy Time Warner over Trump opposition: https://t.co/x9LAJO8PiZ Read the opinion: https://t.co/hstT\\u2026
Tue Jun 12 23:01:46 +0000 2018,RT @Reuters: AT&amp;T wins court approval to buy Time Warner over Trump opposition: https://t.co/x9LAJO8PiZ Read the opinion: https://t.co/hstT\\u2026
Tue Jun 12 23:00:45 +0000 2018,RT @Reuters: AT&amp;T wins court approval to buy Time Warner over Trump opposition: https://t.co/x9LAJO8PiZ Read the opinion: https://t.co/hstT\\u2026
Tue Jun 12 23:00:39 +0000 2018,RT @Reuters: AT&amp;T wins court approval to buy Time Warner over Trump opposition: https://t.co/x9LAJO8PiZ Read the opinion: https://t.co/hstT\\u2026
Tue Jun 12 23:00:29 +0000 2018,RT @Hedgeye: Our Telecom &amp; Media analyst Paul Glenchur nailed this call.\\n$T $TWX @KeithMcCullough \\nhttps://t.co/aQiRoPeji5
Tue Jun 12 23:00:17 +0000 2018,RT @Reuters: AT&amp;T wins court approval to buy Time Warner over Trump opposition: https://t.co/x9LAJO8PiZ Read the opinion: https://t.co/hstT\\u2026
Tue Jun 12 23:00:12 +0000 2018,"RT @StockTwits: It\'s official. AT&amp;T $T and Time Warner $TWX are allowed to merge. If you missed it, here are the best things people are say\\u2026"
Tue Jun 12 23:00:12 +0000 2018,RT @Reuters: AT&amp;T wins court approval to buy Time Warner over Trump opposition: https://t.co/x9LAJO8PiZ Read the opinion: https://t.co/hstT\\u2026
Tue Jun 12 22:59:56 +0000 2018,RT @Reuters: AT&amp;T wins court approval to buy Time Warner over Trump opposition: https://t.co/x9LAJO8PiZ Read the opinion: https://t.co/hstT\\u2026
Tue Jun 12 22:59:35 +0000 2018,RT @Reuters: AT&amp;T wins court approval to buy Time Warner over Trump opposition: https://t.co/x9LAJO8PiZ Read the opinion: https://t.co/hstT\\u2026
Tue Jun 12 22:59:33 +0000 2018,"RT @StockTwits: It\'s official. AT&amp;T $T and Time Warner $TWX are allowed to merge. If you missed it, here are the best things people are say\\u2026"
Tue Jun 12 22:59:27 +0000 2018,RT @Reuters: AT&amp;T wins court approval to buy Time Warner over Trump opposition: https://t.co/x9LAJO8PiZ Read the opinion: https://t.co/hstT\\u2026
Tue Jun 12 22:59:05 +0000 2018,RT @Reuters: AT&amp;T wins court approval to buy Time Warner over Trump opposition: https://t.co/x9LAJO8PiZ Read the opinion: https://t.co/hstT\\u2026
Tue Jun 12 22:59:03 +0000 2018,RT @Reuters: AT&amp;T wins court approval to buy Time Warner over Trump opposition: https://t.co/x9LAJO8PiZ Read the opinion: https://t.co/hstT\\u2026
Tue Jun 12 22:59:01 +0000 2018,RT @Reuters: AT&amp;T wins court approval to buy Time Warner over Trump opposition: https://t.co/x9LAJO8PiZ Read the opinion: https://t.co/hstT\\u2026
Tue Jun 12 22:58:33 +0000 2018,RT @Reuters: AT&amp;T wins court approval to buy Time Warner over Trump opposition: https://t.co/x9LAJO8PiZ Read the opinion: https://t.co/hstT\\u2026
Tue Jun 12 22:58:24 +0000 2018,RT @Reuters: AT&amp;T wins court approval to buy Time Warner over Trump opposition: https://t.co/x9LAJO8PiZ Read the opinion: https://t.co/hstT\\u2026
Tue Jun 12 22:58:18 +0000 2018,RT @Reuters: AT&amp;T wins court approval to buy Time Warner over Trump opposition: https://t.co/x9LAJO8PiZ Read the opinion: https://t.co/hstT\\u2026
Tue Jun 12 22:58:02 +0000 2018,RT @Reuters: AT&amp;T wins court approval to buy Time Warner over Trump opposition: https://t.co/x9LAJO8PiZ Read the opinion: https://t.co/hstT\\u2026
Tue Jun 12 22:57:21 +0000 2018,RT @Reuters: AT&amp;T wins court approval to buy Time Warner over Trump opposition: https://t.co/x9LAJO8PiZ Read the opinion: https://t.co/hstT\\u2026
Tue Jun 12 22:57:09 +0000 2018,RT @Reuters: AT&amp;T wins court approval to buy Time Warner over Trump opposition: https://t.co/x9LAJO8PiZ Read the opinion: https://t.co/hstT\\u2026
Tue Jun 12 22:56:57 +0000 2018,RT @Reuters: AT&amp;T wins court approval to buy Time Warner over Trump opposition: https://t.co/x9LAJO8PiZ Read the opinion: https://t.co/hstT\\u2026
Tue Jun 12 22:56:35 +0000 2018,RT @Reuters: AT&amp;T wins court approval to buy Time Warner over Trump opposition: https://t.co/x9LAJO8PiZ Read the opinion: https://t.co/hstT\\u2026
Tue Jun 12 22:56:10 +0000 2018,RT @Reuters: AT&amp;T wins court approval to buy Time Warner over Trump opposition: https://t.co/x9LAJO8PiZ Read the opinion: https://t.co/hstT\\u2026
Tue Jun 12 22:53:01 +0000 2018,"RT @StockTwits: It\'s official. AT&amp;T $T and Time Warner $TWX are allowed to merge. If you missed it, here are the best things people are say\\u2026"
Tue Jun 12 22:47:34 +0000 2018,WATCH at 4:23 mark: replay of @CNBCFastMoney discussing impact of $T $TWX court decision and implications to $FOXA $DIS $CMCSA\\nThanks for having me @MelissaLeeCNBC @timseymour @karenfinerman @grassosteve @guyadami\\nhttps://t.co/JBNHXjpZJh
Tue Jun 12 22:45:58 +0000 2018,RT @Reuters: Instant view: AT&amp;T wins approval to buy Time Warner for $85 billion https://t.co/SlGELp9Vju $T $TWX https://t.co/kSNTSdjie1
Tue Jun 12 22:45:21 +0000 2018,RT @RichBTIG: The most important takeaway from AT&amp;T Time Warner decision that nobody is talking about \\u2014&gt;\\n\\u201cAT&amp;T Wants To Give Video Away for\\u2026
Tue Jun 12 22:45:09 +0000 2018,"RT @StockTwits: It\'s official. AT&amp;T $T and Time Warner $TWX are allowed to merge. If you missed it, here are the best things people are say\\u2026"
Tue Jun 12 22:44:53 +0000 2018,Aftermarket trade ripples run wide from AT&amp;T/Time Warner decision $T $TWX $CMCSA $DIS $FOXA $S $TMUS $CBS $VIA $NFLX https://t.co/8hJ0PXwymr https://t.co/MpFP7dzBZA
Tue Jun 12 22:44:02 +0000 2018,RT @RichBTIG: The most important takeaway from AT&amp;T Time Warner decision that nobody is talking about \\u2014&gt;\\n\\u201cAT&amp;T Wants To Give Video Away for\\u2026
Tue Jun 12 22:43:35 +0000 2018,"Judge Leon gets at least one thing right. It\'s a $108 billion merger. Debt counts, too.\\n$T $TWX https://t.co/yZdGqDxxXM"
Tue Jun 12 22:43:18 +0000 2018,RT @ReutersBiz: UPDATE: Assistant U.S. Attorney General Delrahim says of AT&amp;T ruling: \'we will closely review the court\'s opinion and consi\\u2026
Tue Jun 12 22:42:09 +0000 2018,Judge clears way for $80bn AT&amp;T bid for Time Warner: #mergers #takeovers $T $TWX https://t.co/ous737Vs4z via @financialtimes
Tue Jun 12 22:40:27 +0000 2018,Market not cheering with $T down over 2% on this news. The chart was shaping up as a potential double bottom with at test of 31s in Nov\'17 and May\'18. We are back down testing 50-day support near 33.4. Buying opportunity? https://t.co/i6iCoocM88
Tue Jun 12 22:39:42 +0000 2018,You bet your ass AT&amp;T is a 15 to 30 year core holding. $T
Tue Jun 12 22:38:02 +0000 2018,RT @DPD_Mergers: U.S. District Judge Richard Leon of the District of Columbia has rejected the DOJ\'s request of an order blocking the acqui\\u2026
Tue Jun 12 22:36:32 +0000 2018,District court judges like to write. Judge Leon\'s decision in the AT&amp;T-Time Warner case is 172 pages...PDF here: https://t.co/KF54F3peRV\\n\\n$T $TWX
Tue Jun 12 22:35:56 +0000 2018,"RT @StockTwits: It\'s official. AT&amp;T $T and Time Warner $TWX are allowed to merge. If you missed it, here are the best things people are say\\u2026"
Tue Jun 12 22:35:03 +0000 2018,RT @FlyoutChase: Aftermarket trade ripples run wide from AT&amp;T/Tim... $T $TWX $CMCSA $FOX $FOXA $DIS $SKYAY $S $TMUS $CBS $VIA https://t.co/\\u2026
Tue Jun 12 22:31:42 +0000 2018,"Judge approves AT&amp;T $T bid to buy Time Warner $TWX! WOOOT!!! T down after hours, but I\'m still up on the position. Long term hold. In fact, bring it down to $28.75 and hit my second buy point. That would be beyond fine. #Telecom #Media #Investing"
Tue Jun 12 22:27:35 +0000 2018,"RT @StockTwits: It\'s official. AT&amp;T $T and Time Warner $TWX are allowed to merge. If you missed it, here are the best things people are say\\u2026"
Tue Jun 12 22:27:19 +0000 2018,$T $TWX\\nAT&amp;T wins court approval to buy Time Warner https://t.co/SzSuMKhlOu
Tue Jun 12 22:26:52 +0000 2018,"RT @StockTwits: It\'s official. AT&amp;T $T and Time Warner $TWX are allowed to merge. If you missed it, here are the best things people are say\\u2026"
Tue Jun 12 22:26:04 +0000 2018,"RT @StockTwits: It\'s official. AT&amp;T $T and Time Warner $TWX are allowed to merge. If you missed it, here are the best things people are say\\u2026"
Tue Jun 12 22:25:09 +0000 2018,"RT @StockTwits: It\'s official. AT&amp;T $T and Time Warner $TWX are allowed to merge. If you missed it, here are the best things people are say\\u2026"
Tue Jun 12 22:25:08 +0000 2018,"It\'s official. AT&amp;T $T and Time Warner $TWX are allowed to merge. If you missed it, here are the best things people are saying: https://t.co/wgyaEg6nWe"
Tue Jun 12 22:25:01 +0000 2018,RT @ThePitBoss16: After the close a U.S. District Court ruled AT&amp;T $T can go ahead with its acquisition of Time Warner $TWX $SPX $SPY \\nU.S.\\u2026
Tue Jun 12 22:21:56 +0000 2018,RT @RichBTIG: The most important takeaway from AT&amp;T Time Warner decision that nobody is talking about \\u2014&gt;\\n\\u201cAT&amp;T Wants To Give Video Away for\\u2026
Tue Jun 12 22:21:53 +0000 2018,RT @RichBTIG: The most important takeaway from AT&amp;T Time Warner decision that nobody is talking about \\u2014&gt;\\n\\u201cAT&amp;T Wants To Give Video Away for\\u2026
Tue Jun 12 22:21:47 +0000 2018,RT @DallasBizNews: #BREAKING: Judge rules for AT&amp;T in landmark merger with Time Warner: https://t.co/xnqgjbxKez $T $TWX
Tue Jun 12 22:20:22 +0000 2018,RT @RichBTIG: The most important takeaway from AT&amp;T Time Warner decision that nobody is talking about \\u2014&gt;\\n\\u201cAT&amp;T Wants To Give Video Away for\\u2026
Tue Jun 12 22:20:02 +0000 2018,RT @IBD_ECarson: How Big Is The AT&amp;T-Time Warner Ruling? Even These Stocks Are Rallying https://t.co/ERRH33iKbR $T $TWX $CVS $AET $CI $ESRX\\u2026
Tue Jun 12 22:20:00 +0000 2018,RT @IBD_ECarson: How Big Is The AT&amp;T-Time Warner Ruling? Even These Stocks Are Rallying https://t.co/ERRH33iKbR $T $TWX $CVS $AET $CI $ESRX\\u2026
Tue Jun 12 22:18:50 +0000 2018,AT&amp;T wins: Judge clears $85 billion bid for Time Warner with no conditions $T $TWX - https://t.co/mvODPstPAa
Tue Jun 12 22:17:53 +0000 2018,How Big Is The AT&amp;T-Time Warner Ruling? Even These Stocks Are Rallying https://t.co/ERRH33iKbR $T $TWX $CVS $AET $CI $ESRX https://t.co/cIEVv9RyLS
Tue Jun 12 22:17:04 +0000 2018,US Attorney Daniel M. Petrocelli holds impromptu news conference after historic AT&amp;T\\u00a0Time Warner Inc.\\u00a0O\'Melveny &amp; Myers LLP\\u00a0Makan Delrahim\\u00a0Alessandro Daffina\\u00a0$T $TWX #Antitrust #M&amp;A https://t.co/q3NbjOA36I https://t.co/r7uTZRbwrl
Tue Jun 12 22:16:45 +0000 2018,"$SPY $QQQ $IWM $VIX $DIA $T $TWX $CI $ESRX $CVS $AET $FOXA $DIS $CHTR $CMCSA After judge clears AT&amp;T-Time Warner deal, other deal stocks pop https://t.co/q8ib060GuV"
Tue Jun 12 22:15:26 +0000 2018,"A federal judge has approved with no conditions $T\'s $85 billion mega-acquisition of $TWX, ending a nearly-two year legal battle with the gov and setting a precedent that will potentially unleash a flurry of other deals in both the media space and beyond.\\nhttps://t.co/seFAfw4LLS"
Tue Jun 12 22:15:03 +0000 2018,"RT @theflynews: After judge clears AT&amp;T-Time Warner deal, other deal stocks pop $AET $CVS $CI $ESRX $T $TWX https://t.co/xekONdqCN8"
Tue Jun 12 22:15:02 +0000 2018,"After judge clears AT&amp;T-Time Warner deal, other deal stocks pop $AET $CVS $CI $ESRX $T $TWX https://t.co/xekONdqCN8"
Tue Jun 12 22:10:38 +0000 2018,RT @Hedgeye: Our Telecom &amp; Media analyst Paul Glenchur nailed this call.\\n$T $TWX @KeithMcCullough \\nhttps://t.co/aQiRoPeji5
Tue Jun 12 22:07:25 +0000 2018,"RT @PipsToDollars: $FOXA $CMCSA $TWX $T $DIS $WWE \\nAT&amp;T can buy Time Warner, and everyone else can buy everything else https://t.co/iJa3lMy\\u2026"
Tue Jun 12 22:06:00 +0000 2018,RT @TJReazor: With all the media merger talk happening now that AT&amp;T is allowed to take over Time Warner does $AAPL or $AMZN try &amp; buy $NFL\\u2026
Tue Jun 12 22:05:17 +0000 2018,Aftermarket trade ripples run wide from AT&amp;T/Tim... $T $TWX $CMCSA $FOX $FOXA $DIS $SKYAY $S $TMUS $CBS $VIA https://t.co/YnpsrvfGW7
Tue Jun 12 22:04:43 +0000 2018,"6-12-2018 @FBI @FBIWFO The USDOT aka Metro (et al corps) mergered with/dba AT&amp;T\\n\\nAT&amp;T prevails in Time Warner merger trial, without conditions https://t.co/xnoRkstz7c $T, $TWX, $FOX, $FOXA, $DIS, $CMCSA, $SKYAY, $T, $TWX, $CMCSA, $DIS, $FOX, $FOXA, $SKYAY"
Tue Jun 12 22:04:14 +0000 2018,"Spot the SCammer\\nThis fraud , look at the kind of fake accounts that reply to his BS . \\nchink fraud =        madaz @ madaznfootballr\\n\\n$aapl $fb $t $amzn $twx #chinkfraud        $GLMD"
Tue Jun 12 22:01:14 +0000 2018,"RT @lkramer: The AT&amp;amp;T Ruling Ripples Through Wall Street $T, $TWX, $CMCSA, $FOXA, $DIS, $CVS, $AET https://t.co/P9Xemn6go4 via @TheStre\\u2026"
Tue Jun 12 22:00:44 +0000 2018,RT @Hedgeye: Our Telecom &amp; Media analyst Paul Glenchur nailed this call.\\n$T $TWX @KeithMcCullough \\nhttps://t.co/aQiRoPeji5
Tue Jun 12 21:58:42 +0000 2018,RT @Hedgeye: Our Telecom &amp; Media analyst Paul Glenchur nailed this call.\\n$T $TWX @KeithMcCullough \\nhttps://t.co/aQiRoPeji5
Tue Jun 12 21:58:30 +0000 2018,RT @Reuters: MORE: AT&amp;T general counsel says looks forward to closing merger with Time Warner on or before June 20 $T $TWX https://t.co/ALA\\u2026
Tue Jun 12 21:58:24 +0000 2018,RT @JAYELANG: Will Trump administration\'s loss to AT&amp;T mean a record year for M&amp;A?  https://t.co/UM55Sn5CdU @dcexaminer @JoePWilliams31 #Wa\\u2026
Tue Jun 12 21:58:17 +0000 2018,RT @JBoorstin: Media M&amp;A floodgates are now open. The ruling in AT&amp;T\\u2019s favor is huge- most notably because of its lack of conditions on the\\u2026
Tue Jun 12 21:57:01 +0000 2018,$T $CMCSA $CVS $AET $CI:\\n\\nHow Big Is The AT&amp;T-Time Warner Ruling? Even These Stocks Are Rallying:\\n\\nhttps://t.co/pBvXLaORnK
