Fri Jun 08 23:48:12 +0000 2018,"Walmart Inc $WMT Insider Sells $464,202.60 in Stock https://t.co/vRTTbvLcrF"
Fri Jun 08 16:32:03 +0000 2018,Walmart\\u2019s $WMT Positive Rating Reaffirmed at Susquehanna Bancshares https://t.co/6S9SgrSsrS
Fri Jun 08 16:27:37 +0000 2018,Unbelievable undervalued  dividend paying $RKUNY #Rakuten is the most profitable eCommerce powerhouse makes more money than $WMT Walmart $AMZN Amazon $BABA Alibaba $eBay $EBAY $M MACYS $TGT target \\nhttps://t.co/BPK7q6y1xs #WallStreet #analysts $JPM $MS $WFC $GS $PIEJF $SAN $KKR
Fri Jun 08 15:51:52 +0000 2018,"So you\\u2019ve heard of $BABA Alibaba, $AMZN Amazon $EBAY eBay$NMGC https://t.co/Nmmri640W7 $WMT Walmart Jet but have you heard of $RKUNY #Rakuten?\\u00a0https://t.co/005yoyYFlh"
Fri Jun 08 15:45:55 +0000 2018,RT @bizboyle: The Walmart/Amazon battle keeps raging: Walmart just sued its former chief tax officer for defecting to the Internet giant $W\\u2026
Fri Jun 08 15:38:40 +0000 2018,$TMXN - UBER DOOBER &amp; Kush Babies MMJ - delivery + Bath Bombs in Walmart? Buy the dip? $AMZN $TSLA $WMT $TGT $NVDA $SPY $GLD $EBAY $AAPL $FB $TWTR $GS $S $GOOG \\n$DIS  $IBM $MSFT $BIDU $VZ\\n$ADBE $AMAT $ADSK $AVGO $BABA $BRCD $CDNS $CAVM $CERN $CHKP $CSCO $CTXS $CTSH $CSC \\n$DVMT https://t.co/Q0TGu3PksV
Fri Jun 08 15:17:33 +0000 2018,"Targets Advancement in Delivery Rivals Amazon and Walmart\\n#TargetCorporation, $NYSE, #NewYorkStockExchange, $TGT, #Delivery, #Shipt, #DriveUp, #holidayseason, #Walmart, $WMT, #Amazon, $AMZN, #CNBC, #GordonHaskett, #shipping, https://t.co/hpfQLTGzjR"
Fri Jun 08 14:03:47 +0000 2018,$WMT Walmart and $M Macys Bloomingdale\'s should buy stake in $RKUNY #Rakuten if they want to expand in Asia and Europe https://t.co/9p5ziZcCKE
Fri Jun 08 10:57:57 +0000 2018,Walmart Inc $WMT Expected to Announce Quarterly Sales of $125.53 Billion https://t.co/a8CCCNi1se
Fri Jun 08 10:06:23 +0000 2018,"RT @laurenthomasx3: Target makes big leap in the delivery wars against Amazon, Walmart https://t.co/F7mqUa0udm $tgt $wmt $amzn"
Fri Jun 08 08:45:41 +0000 2018,Walmart Inc $WMT Expected to Announce Quarterly Sales of $125.53 Billion https://t.co/cQiqrtmCqL #stocks
Fri Jun 08 06:34:35 +0000 2018,Reviewing Walmart $WMT and Dollar General $DG https://t.co/gMJcdMVRz3
Fri Jun 08 06:27:26 +0000 2018,$WMT $AMZN \\nWalmart sues to bar former tax executive from joining Amazon https://t.co/RCyvJqrJ6h
Fri Jun 08 05:51:36 +0000 2018,RT @bthau: #Walmart Takes A Swig Of The $62 Billion Wine Industry With Its Own Label via @forbes $WMT #wine #privatelabel https://t.co/7Dq8\\u2026
Fri Jun 08 05:33:47 +0000 2018,"Walmart employees share 7 things they want to tell customers, but can\'t $WMT  https://t.co/XhQUPimwSS"
Fri Jun 08 05:33:21 +0000 2018,"Walmart\'s ModCloth is opening retail stores across the US, but you can\'t take home everything you buy  $WMT  https://t.co/H6t7Qzzjyj"
Fri Jun 08 05:30:41 +0000 2018,Walmart is now selling $11 bottles of wine it says will \'drink like a $30 or $40 bottle\\u2019  $WMT  https://t.co/YaaIF7BltG
Fri Jun 08 05:27:35 +0000 2018,RT @bthau: #Walmart Takes A Swig Of The $62 Billion Wine Industry With Its Own Label via @forbes $WMT #wine #privatelabel https://t.co/7Dq8\\u2026
Fri Jun 08 03:00:06 +0000 2018,Walmart to bond with Tencent on advanced digital retailing | Asia Times $WMT $TCEHY https://t.co/HlwMEPukHe
Fri Jun 08 02:41:35 +0000 2018,Walmart to bond with Tencent on advanced digital retailing $TCEHY $WMT https://t.co/S85OJMAEYw
Fri Jun 08 02:17:23 +0000 2018,"RT @laurenthomasx3: Target makes big leap in the delivery wars against Amazon, Walmart https://t.co/F7mqUa0udm $tgt $wmt $amzn"
Fri Jun 08 01:59:35 +0000 2018,RT @USATODAYmoney: Walmart is also boosting its paid maternity leave policy for full-time hourly workers to 10 weeks and increasing its pai\\u2026
Fri Jun 08 01:46:43 +0000 2018,RT @bizboyle: The Walmart/Amazon battle keeps raging: Walmart just sued its former chief tax officer for defecting to the Internet giant $W\\u2026
Fri Jun 08 20:45:58 +0000 2018,"RT @futurumxyz: Expanding further into #healthcare,  @Cisco invests in patient experience provider @Tagnostweet through its Webex Innovatio\\u2026"
Fri Jun 08 20:27:00 +0000 2018,"Expanding further into #healthcare,  @Cisco invests in patient experience provider @Tagnostweet through its Webex Innovation Fund  https://t.co/liw2kVKLuo $CSCO"
Fri Jun 08 20:22:42 +0000 2018,"$csco closed at 43.48 today. Down .39%.\\n\\nCisco has been somewhat choppy and appears to be rising and coiling.\\n\\nThe daily candle closed indicating a doji. \\n\\nWe expect further upside, however, we are cautious of the stock breaking below the 43.48 price level.\\n\\nWe are long $csco."
Fri Jun 08 18:38:12 +0000 2018,"Cisco Systems, Inc. (NASDAQ:CSCO) \\u2013 Active Mover https://t.co/YbyX88Lafo $CSCO #stocks #stockmarket"
Fri Jun 08 18:01:26 +0000 2018,Cisco Gets a Buy Rating from Oppenheimer $CSCO https://t.co/AQ99lEDT3j
Fri Jun 08 16:01:05 +0000 2018,$CSCO #CISCO $SPY $XLK $AMD https://t.co/KnOEef8UZH
Fri Jun 08 16:01:04 +0000 2018,$CSCO #CISCO $SPY $XLK $AMD https://t.co/SkaLmZXNM5
Fri Jun 08 14:43:28 +0000 2018,$CSCO https://t.co/ZTIcvYqTx7 Pot. cont. Uptrend LONGERTERM Wly-Dly-Hly combo chart #Cisco #Stocks https://t.co/ItGJ7hHI3W
Fri Jun 08 08:01:03 +0000 2018,"Cisco Systems, Inc. (CSCO) Presents at Bank of America Merrill Lynch 2018 Global Technology Conference (Transcript) https://t.co/9VN9zR0SFI $CSCO"
Fri Jun 08 04:47:23 +0000 2018,"Cisco Systems, Inc. (CSCO) Presents at Bank of America Merrill Lynch 2018 Global Technology Conference (Transcript) $CSCO https://t.co/Gp0bsIzEpN"
Fri Jun 08 22:46:25 +0000 2018,Awaiting the $T-$TWX ruling...and its implications:  https://t.co/XQiCmv6IJu
Fri Jun 08 22:31:08 +0000 2018,Buy or Sell AT&amp;T Inc. Stock With Its 6% Dividend Yield? $T https://t.co/UfA1qt4xqh #dividend https://t.co/5etWkHmfA9
Fri Jun 08 22:17:42 +0000 2018,"RT @OptionsAction: Here\'s how @Michael_Khouw is trading $T ahead of the looming AT&amp;T, Time Warner verdict next week https://t.co/LCgn9gt44h"
Fri Jun 08 22:00:06 +0000 2018,"RT @OptionsAction: Here\'s how @Michael_Khouw is trading $T ahead of the looming AT&amp;T, Time Warner verdict next week https://t.co/LCgn9gt44h"
Fri Jun 08 21:53:49 +0000 2018,"@OptionsAction @Michael_Khouw Superb show but everyone is missing the story. \\nIf AT&amp;T wins clean verdict, and that is unlikely, this is what you get:\\n$T + $TWX = $CMCSA (aka Comcast, which is sucking wind, as is ALL cable and ALL capital intensive biz)\\nSo AT&amp;T should crash on a win."
Fri Jun 08 21:51:28 +0000 2018,"RT @OptionsAction: Here\'s how @Michael_Khouw is trading $T ahead of the looming AT&amp;T, Time Warner verdict next week https://t.co/LCgn9gt44h"
Fri Jun 08 21:51:25 +0000 2018,"RT @OptionsAction: Here\'s how @Michael_Khouw is trading $T ahead of the looming AT&amp;T, Time Warner verdict next week https://t.co/LCgn9gt44h"
Fri Jun 08 21:48:42 +0000 2018,"Here\'s how @Michael_Khouw is trading $T ahead of the looming AT&amp;T, Time Warner verdict next week https://t.co/LCgn9gt44h"
Fri Jun 08 21:30:21 +0000 2018,Analysts Anticipate AT&amp;T Inc. $T to Announce $0.89 Earnings Per Share https://t.co/rPUbZ1xGLg #stocks
Fri Jun 08 21:30:15 +0000 2018,Analysts Anticipate AT&amp;T Inc. $T to Announce $0.89 Earnings Per Share https://t.co/vPgxKqfZnB
Fri Jun 08 21:22:13 +0000 2018,Analysts Anticipate AT&amp;T Inc. $T to Announce $0.89 Earnings Per Share https://t.co/dVPTVvn7th
Fri Jun 08 20:31:19 +0000 2018,"$CEO $T The Ratings Game: Verizon\\u2019s CEO selection surprises analysts, suggests it\\u2019s on a very different path from AT&amp;T\\u2019s https://t.co/dIOkLHRcrq"
Fri Jun 08 18:56:00 +0000 2018,ICYMI: AT&amp;T taps Best Buy executive as new chief digital officer: https://t.co/Yqwa78k04F $T
Fri Jun 08 17:35:46 +0000 2018,"Will Investors Stick Around as AT&amp;T, Comcast Payouts Cool? - Barron\'s Tech Trader Daily - $T $CMCSA $VZ $CHTR https://t.co/SxYNqIebW5"
Fri Jun 08 16:48:15 +0000 2018,AT&amp;T says: \\
Fri Jun 08 16:36:11 +0000 2018,RT @DrChesterCook: $GSAT NETRALITY ANNOUNCES FIBERLIGHT DEPLOYMENT AT HOUSTON DATA CENTER  -  https://t.co/nJKduZ8yld $CTL $T $GOOG $AMZN $\\u2026
Fri Jun 08 16:03:40 +0000 2018,Magicjack Vocaltec $CALL and AT&amp;T $T Critical Comparison https://t.co/Lt3uR9CxIs
Fri Jun 08 15:55:13 +0000 2018,"The administration may be fighting the AT&amp;T/Time Warner tie up for a number of \\u2026 let\\u2019s call them, \\u201clegally irrelevant\\u201d  reasons. But it only needs one good one to convince the judge, even if it does rely on a new way of looking at the TV biz. $T $TWX https://t.co/MeEB9h08nA"
Fri Jun 08 15:38:17 +0000 2018,$GSAT NETRALITY ANNOUNCES FIBERLIGHT DEPLOYMENT AT HOUSTON DATA CENTER  -  https://t.co/nJKduZ8yld $CTL $T $GOOG $AMZN $NFLX $FB $VZ $TMUS $GE $M $TWTR https://t.co/t3eK4hczos
Fri Jun 08 15:37:55 +0000 2018,RT @MarketCurrents: AT&amp;T hikes prices again on \'grandfathered\' unlimited users https://t.co/HJS1auTXJq $T
Fri Jun 08 15:27:10 +0000 2018,AT&amp;T hikes prices again on \'grandfathered\' unlimited users $T $S $VZ $TMUS https://t.co/ThcCTpZybN
Fri Jun 08 15:18:48 +0000 2018,AT&amp;T hikes prices again on \'grandfathered\' unlimited users https://t.co/ZAp3KD1VLv $T
Fri Jun 08 15:18:48 +0000 2018,AT&amp;T hikes prices again on \'grandfathered\' unlimited users https://t.co/HJS1auTXJq $T
Fri Jun 08 15:12:42 +0000 2018,AT&amp;T Inc.: Heavy volume for AT&amp;T stock. $T https://t.co/fhHBWm188K https://t.co/1SeZ5FlDjE
Fri Jun 08 15:06:34 +0000 2018,"Vetr users have downgraded AT&amp;T Inc. to a HOLD Rating (3 stars), giving $T a target price of $35.03 https://t.co/zhNb6V8ojO"
Fri Jun 08 14:50:58 +0000 2018,RT @deancollins: @kooshbal12345 I don\'t understand why $TWX is only $95 at the moment.\\n\\nIts either worth $107 on Tuesday when the judge rul\\u2026
Fri Jun 08 14:49:20 +0000 2018,AT&amp;T $T Lowered to Hold at Jefferies Group https://t.co/kDxyTNNL9Q
Fri Jun 08 14:47:47 +0000 2018,@GerberKawasaki I don\'t understand why $TWX is only $95 at the moment.\\n\\nIts either worth $107 on Tuesday when the jude rules for $T ....or its not (even then might be worth more in cash to Comcast).\\n\\nHow come the $12 arbitrage difference?
Fri Jun 08 14:47:05 +0000 2018,@kooshbal12345 I don\'t understand why $TWX is only $95 at the moment.\\n\\nIts either worth $107 on Tuesday when the judge rules for $T ....or its not (even then might be worth more in cash to Comcast).\\n\\nHow come the $12 arbitrage difference?
Fri Jun 08 14:45:31 +0000 2018,I don\'t understand why $TWX is only $95 at the moment.\\n\\nIts either worth $107 on Tuesday when the jude rules for $T ....or its not (even then might be worth more in cash to Comcast).\\n\\nHow come the $12 arbitrage difference? https://t.co/CEZ1bBGETh
Fri Jun 08 14:33:00 +0000 2018,AT&amp;T Inc.: Historical volume for AT&amp;T stock. $T https://t.co/fhHBWm188K https://t.co/uQENg9HOIf
Fri Jun 08 13:53:54 +0000 2018,RT @dtan73: Nokia marks successful 5G test with T-Mobile; building IoT with AT&amp;T https://t.co/qsEbk6giNk $NOK $TMUS $T https://t.co/CYJafyQ\\u2026
Fri Jun 08 13:53:25 +0000 2018,AT&amp;T Inc.: Unusual volume for AT&amp;T stock. $T https://t.co/fhHBWm188K https://t.co/Cwg2PL8TBo
Fri Jun 08 13:45:40 +0000 2018,Kcm Investment Advisors Has Lowered At&amp;T $T Holding; Viking Global Investors LP Has Decreased Encana $ECA Stake - https://t.co/eqCEN2x2Nq
Fri Jun 08 13:29:20 +0000 2018,Is AT&amp;T a short on any outcome June 12th?   I examine the ripple effects for media : $TWX $CMCSA $T $FOXA $CBS $DIS.   On this week\\u2019s episode of According to Sources.  https://t.co/gnyjUUAxMr
Fri Jun 08 12:44:29 +0000 2018,Q4 2018 EPS Estimates for AT&amp;T Inc. Cut by Jefferies Group $T https://t.co/MgpEwXKU34
Fri Jun 08 12:43:23 +0000 2018,Q4 2018 EPS Estimates for AT&amp;T Inc. Cut by Jefferies Group $T https://t.co/JvoAXKQ4Zw #stocks
Fri Jun 08 12:34:12 +0000 2018,Jefferies Group Lowers AT&amp;T Q4 2018 Earnings Estimates to $0.75 EPS (Previously $0.77). https://t.co/NNHaL0qWXz $T #T
Fri Jun 08 12:33:25 +0000 2018,AT&amp;T Midwest dispute leads to hundreds on strike (updated) $T https://t.co/RNlB0lS6Ka
Fri Jun 08 09:26:35 +0000 2018,Investors Sell Shares of AT&amp;T $T on Strength $T https://t.co/gH7sNCxmF2
Fri Jun 08 09:06:05 +0000 2018,Buy or Sell AT&amp;T Inc. Stock With Its 6% Dividend Yield? $T https://t.co/UfA1qt4xqh #dividend #investing https://t.co/OkIpAdoyGT
Fri Jun 08 04:51:38 +0000 2018,Nokia marks successful 5G test with T-Mobile; building IoT with AT&amp;T $NOK $TMUS $T https://t.co/io70h8tpim
Fri Jun 08 04:47:13 +0000 2018,RT @theflynews: REPORT: AT&amp;T changes policy of blocking competitors from DirecTV ads: https://t.co/iOkGop3oFJ $T $TWX $TMUS $S $VZ
Fri Jun 08 02:47:06 +0000 2018,"AT&amp;T: Forget Time Warner, The Pipes Are Valuable Enough https://t.co/QFNj9MANSh $T, $TWX"
Fri Jun 08 01:10:14 +0000 2018,"UBS: Behavior remedies likely to pass muster in AT&amp;T/Time Warner decision https://t.co/VsfSeLQGzF $T, $TWX, $VZ, $DIS, $FOX, $FOXA, $S, $TMUS, $CMCSA"
Fri Jun 08 00:44:04 +0000 2018,Buy or Sell AT&amp;T Inc. Stock With Its 6% Dividend Yield? $T https://t.co/UfA1qt4xqh #dividend https://t.co/bGowrXhudP
Fri Jun 08 22:13:29 +0000 2018,RT @RudyHavenstein: \\
Fri Jun 08 21:46:17 +0000 2018,RT @RakutenStock: $RKUNY #Rakuten ebitda is way much higher than $AMZN Amazon and $BABA Alibaba... $RKUNY #Rakuten plays a dividend and gro\\u2026
Fri Jun 08 20:20:50 +0000 2018,$BABA FINDS BUYERS AT KEY SUPPORT LEVEL: https://t.co/Kwnuhrox7w\\nSentiment: Bullish #BABA #Alibaba
Fri Jun 08 19:05:01 +0000 2018,RT @Benzinga: Morgan Stanley: Alibaba\'s Opportunity In China \'Vastly Greater\' Than Amazon\'s U.S. Potential https://t.co/c8sB2eHC2M $AMZN $B\\u2026
Fri Jun 08 19:05:00 +0000 2018,Morgan Stanley: Alibaba\'s Opportunity In China \'Vastly Greater\' Than Amazon\'s U.S. Potential https://t.co/c8sB2eHC2M $AMZN $BABA
Fri Jun 08 18:32:54 +0000 2018,RT @DrivingTheDay: China\'s Four Tech Giants: Tencent @WeChatApp @AlibabaGroup $BABA @Baidu_Inc @xiaomi https://t.co/t0U3xYsJGH #Tencent #Ba\\u2026
Fri Jun 08 17:34:13 +0000 2018,ANT funding round https://t.co/7KCxoMMzqt $BABA $GS #valuation #startup #financial #FS #bank #banking #digital #wallet #payment #card #mobile #cell #app #Alibaba #Alipay #China #Asia #Global #shopping #mcommerce #USA #US #investment #investor #ROI #profit #ANT #funding #round #x
Fri Jun 08 16:40:05 +0000 2018,"RT @AlphSt_Live: Chinese fintech firm raises whopping $14 billion...\\n\\n#Alibaba, #Fintech, $BABA, #Ant, #Financial, #PayPal, #Alipay\\n\\nhttps:\\u2026"
Fri Jun 08 16:05:56 +0000 2018,Alibaba Group Holding Limited $BABA Stock Trading on Unusual Volume https://t.co/ZxHhUYFGl0 https://t.co/97EAircuSo
Fri Jun 08 14:00:49 +0000 2018,"RT @AmyLewis1414: Chinese fintech firm raises whopping $14 billion...\\n\\n#Alibaba, #Fintech, $BABA, #Ant, #Financial, #PayPal, #Alipay\\n\\nhttps\\u2026"
Fri Jun 08 13:56:33 +0000 2018,"RT @AmyLewis1414: Chinese fintech firm raises whopping $14 billion...\\n\\n#Alibaba, #Fintech, $BABA, #Ant, #Financial, #PayPal, #Alipay\\n\\nhttps\\u2026"
Fri Jun 08 13:55:07 +0000 2018,"Chinese fintech firm raises whopping $14 billion...\\n\\n#Alibaba, #Fintech, $BABA, #Ant, #Financial, #PayPal, #Alipay\\n\\nhttps://t.co/HZEbsfPN18 https://t.co/jVyHKI3yHg"
Fri Jun 08 13:54:33 +0000 2018,"Is it buy or sell time for $AMZN, $BABA, $NVDA, $PM, and $VALE ? https://t.co/7AQMehDk5o"
Fri Jun 08 13:51:21 +0000 2018,"Chinese fintech firm raises whopping $14 billion...\\n\\n#Alibaba, #Fintech, $BABA, #Ant, #Financial, #PayPal, #Alipay\\n\\nhttps://t.co/mV4nni90gK https://t.co/vikLPg37dA"
Fri Jun 08 13:42:58 +0000 2018,$RKUNY #Rakuten ebitda is way much higher than $AMZN Amazon and $BABA Alibaba... $RKUNY #Rakuten plays a dividend and growing the bottom line for real.. Do T be fooled by randomness #WallStreet #analysts sell $AMZN $BABA and buy $RKUNY Rakuten https://t.co/tittrppMEA
Fri Jun 08 12:02:24 +0000 2018,"$ARQL $MBT $BABA $QD $ARCO $IBN 1.4m ago: Research Report Identifies Qudian Inc., ICICI Bank, Mobile TeleSystems OJSC, ArQule, Alibaba Group Holding, and Arcos Dorados with Renewed Outlook \\u2014 Fundamental Analysis, Calculating Forward Movement https://t.co/p798xHqZiA"
Fri Jun 08 11:55:14 +0000 2018,Altaba is selling approx. $532 billion worth of Alibaba shares in order to fund its share buyback. They\'re buying back a quarter of their outstanding shares. $BABA $AABA
Fri Jun 08 10:09:56 +0000 2018,"RT @NewsQuantified: Despite $BABA price target being boosted above $300 at Susquehanna, stock dips -3.19% #Alibaba https://t.co/Bb6nT1lr7K"
Fri Jun 08 08:40:37 +0000 2018,"RT @Igor_Todorovglu: #Alipay operator has plans for international expansion, #inclusive services, #blockchain, #AI, #IoT\\n\\n$CG $BABA  #AntFi\\u2026"
Fri Jun 08 08:18:55 +0000 2018,"RT @Igor_Todorovglu: #Alipay operator has plans for international expansion, #inclusive services, #blockchain, #AI, #IoT\\n\\n$CG $BABA  #AntFi\\u2026"
Fri Jun 08 07:55:34 +0000 2018,"#Alipay operator has plans for international expansion, #inclusive services, #blockchain, #AI, #IoT\\n\\n$CG $BABA  #AntFinancial #MergersAndAcquisitions $TROW #Alibaba #payments #IoT #ArtificialIntelligence #GIC #SilverLake #Temasek #\\u2026https://t.co/ekxKqkD4KW https://t.co/w6fPC1a0LK"
Fri Jun 08 07:55:07 +0000 2018,"#Alipay operator has plans for international expansion, #inclusive services, #blockchain, #AI, #IoT\\n\\n$CG $BABA  #AntFinancial #MergersAndAcquisitions $TROW #Alibaba #payments #IoT #ArtificialIntelligence #GIC #SilverLake #Temasek #CPPIB\\nhttps://t.co/w6fPC1a0LK"
Fri Jun 08 07:54:54 +0000 2018,"RT @Breaking24Seven: #Alipay operator has plans for international expansion, #inclusive services, #blockchain, #AI, #IoT\\n\\n$CG $BABA  #AntFi\\u2026"
Fri Jun 08 07:43:49 +0000 2018,Traders Buy Alibaba Group $BABA on Weakness https://t.co/G8XXEgIqgB
Fri Jun 08 06:24:31 +0000 2018,"#Alipay operator has plans for international expansion, #inclusive services, #blockchain, #AI, #IoT\\n\\n$CG $BABA  #AntFinancial #MergersAndAcquisitions $TROW #Alibaba #payments #IoT #ArtificialIntelligence #GIC #SilverLake #Temasek #CPPIB\\nhttps://t.co/rJCM9zmrI7"
Fri Jun 08 06:23:18 +0000 2018,Altaba\\u2019s plan to buy back stock includes selling nearly 100 million Alibaba shares\\n$BABA $AABA\\n\\n#shares #hedgefunds #Alibaba #plan\\nhttps://t.co/xQtbahrJUY
Fri Jun 08 03:39:06 +0000 2018,RT @DrivingTheDay: China\'s Four Tech Giants: Tencent @WeChatApp @AlibabaGroup $BABA @Baidu_Inc @xiaomi https://t.co/t0U3xYsJGH #Tencent #Ba\\u2026
Fri Jun 08 03:38:03 +0000 2018,RT @DrivingTheDay: China\'s Four Tech Giants: Tencent @WeChatApp @AlibabaGroup $BABA @Baidu_Inc @xiaomi https://t.co/t0U3xYsJGH #Tencent #Ba\\u2026
Fri Jun 08 03:37:15 +0000 2018,RT @DrivingTheDay: China\'s Four Tech Giants: Tencent @WeChatApp @AlibabaGroup $BABA @Baidu_Inc @xiaomi https://t.co/t0U3xYsJGH #Tencent #Ba\\u2026
Fri Jun 08 03:36:04 +0000 2018,RT @DrivingTheDay: China\'s Four Tech Giants: Tencent @WeChatApp @AlibabaGroup $BABA @Baidu_Inc @xiaomi https://t.co/t0U3xYsJGH #Tencent #Ba\\u2026
Fri Jun 08 02:52:54 +0000 2018,"At a $150B valuation, which Alibaba owns 33% of. I think $BABA looks like a very undervalued stock to me right now. https://t.co/YiyBTYRTtp"
Fri Jun 08 01:35:41 +0000 2018,RT @DrivingTheDay: China\'s Four Tech Giants: Tencent @WeChatApp @AlibabaGroup $BABA @Baidu_Inc @xiaomi https://t.co/t0U3xYsJGH #Tencent #Ba\\u2026
Fri Jun 08 01:35:09 +0000 2018,RT @DrivingTheDay: China\'s Four Tech Giants: Tencent @WeChatApp @AlibabaGroup $BABA @Baidu_Inc @xiaomi https://t.co/t0U3xYsJGH #Tencent #Ba\\u2026
Fri Jun 08 00:50:55 +0000 2018,RT @JaguarAnalytics: $BABA In October 2016 Jaguar made an investors presentation in Belgium and Netherlands talking about Alibaba take rate\\u2026
Fri Jun 08 22:51:06 +0000 2018,.@Breakingviews: Why did two thirds of Facebook\'s independent shareholders re-elect Zuckerberg to the board despite $FB\\u2019s mounting problems? @johnsfoley @jennifersaba and @AntonyMCurrie weigh in: https://t.co/CVa8OLN9xG
Fri Jun 08 19:45:03 +0000 2018,On @Breakingviews: Mark Zuckerberg has fumbled this year. Here\\u2019s @johnsfoley on why more Facebook investors could afford to protest https://t.co/oNmgx6PfOA $FB
Fri Jun 08 23:59:03 +0000 2018,$FB - Facebook Gave Some Companies Special Access to Additional Data About Users\' Friends -- 4th Update https://t.co/vCoFbUp5mO
Fri Jun 08 23:59:02 +0000 2018,$FB - Facebook Gave Some Companies Special Access to Additional Data About Users\' Friends -- 4th Update https://t.co/jFpM6K5JlO
Fri Jun 08 23:48:35 +0000 2018,#FridayFunnies! $FB funny cause it\'s true. Sad because most don\'t actively care. #Facebook keep on #truckin! #monopoly $TWTR not far behind $SNAP you are on deck! @petenajarian @BKBrianKelly @JoeSquawk https://t.co/3GysZ44BwR
Fri Jun 08 23:41:04 +0000 2018,$FB - Facebook Gave Some Companies Special Access to Additional Data About Users\' Friends -- 3rd Update https://t.co/MpMmZzDxVS
Fri Jun 08 23:41:02 +0000 2018,$FB - Facebook Gave Some Companies Special Access to Additional Data About Users\' Friends -- 3rd Update https://t.co/NTaarIoDrD
Fri Jun 08 23:15:16 +0000 2018,RT @Reuters: .@Breakingviews: Why did two thirds of Facebook\'s independent shareholders re-elect Zuckerberg to the board despite $FB\\u2019s moun\\u2026
Fri Jun 08 23:14:59 +0000 2018,RT @Reuters: .@Breakingviews: Why did two thirds of Facebook\'s independent shareholders re-elect Zuckerberg to the board despite $FB\\u2019s moun\\u2026
Fri Jun 08 23:13:25 +0000 2018,RT @Reuters: .@Breakingviews: Why did two thirds of Facebook\'s independent shareholders re-elect Zuckerberg to the board despite $FB\\u2019s moun\\u2026
Fri Jun 08 23:09:03 +0000 2018,RT @Reuters: .@Breakingviews: Why did two thirds of Facebook\'s independent shareholders re-elect Zuckerberg to the board despite $FB\\u2019s moun\\u2026
Fri Jun 08 23:07:12 +0000 2018,RT @Reuters: .@Breakingviews: Why did two thirds of Facebook\'s independent shareholders re-elect Zuckerberg to the board despite $FB\\u2019s moun\\u2026
Fri Jun 08 23:04:06 +0000 2018,RT @DrivingTheDay: Tech Review 1) @elonmusk Sticking To His Guns On Tesla Targets (video); 2) Digital Ad Spending Blows Past TV Advertising\\u2026
