Wed Jun 13 23:24:12 +0000 2018,"Walmart Inc $WMT Director Sells $92,971,098.88 in Stock https://t.co/Vb3RlI4PLe #stocks"
Wed Jun 13 10:23:42 +0000 2018,Traders Buy Walmart $WMT on Weakness on Insider Selling https://t.co/6J6oF9Iwzd
Wed Jun 13 08:25:38 +0000 2018,Analyzing PriceSmart $PSMT and Walmart $WMT https://t.co/SJMUWhFikW
Wed Jun 13 08:17:57 +0000 2018,"Insider Selling: Walmart Inc $WMT Major Shareholder Sells 1,499,270 Shares of Stock https://t.co/bjB2HeVQZz"
Wed Jun 13 07:17:14 +0000 2018,Comparing Five Below $FIVE &amp; Walmart $WMT https://t.co/GbPM1CuBAO #stocks
Wed Jun 13 06:16:28 +0000 2018,\\
Wed Jun 13 05:30:26 +0000 2018,Traders Buy Shares of Walmart $WMT on Weakness After Insider Selling https://t.co/UHfePIU22L
Wed Jun 13 02:19:26 +0000 2018,$RKUNY Rakuten\\u00a0is being seen as a potential takeover target.\\u00a0$WMT Walmart Inc. may be interested mused Amir Anvarzadeh of Asymmetric Advisors Ltd. https://t.co/Cz4AjRM0eO $JCP $M $ADRNY $NSRGY $AMZN $BABA $TCEHY $SFTBY $FB $AAPL $NFLX $GOOG #nikkei https://t.co/80nbiRasOC
Wed Jun 13 02:15:40 +0000 2018,RT @RakutenStock: $WMT Walmart and $M Macys Bloomingdale\'s should buy stake in $RKUNY #Rakuten if they want to expand in Asia and Europe ht\\u2026
Wed Jun 13 02:15:37 +0000 2018,RT @RakutenStock: Unbelievable undervalued  dividend paying $RKUNY #Rakuten is the most profitable eCommerce powerhouse makes more money th\\u2026
Wed Jun 13 22:26:34 +0000 2018,"$CSCO Cisco Systems, Inc. SEC Filing: Form 4 https://t.co/3SL23xMRcZ"
Wed Jun 13 22:17:08 +0000 2018,"$CSCO Cisco Systems, Inc. SEC Filing: Form 4 https://t.co/wqLyT9IBts"
Wed Jun 13 22:14:45 +0000 2018,$CSCO Cisco - 4 (Statement of Changes in Beneficial Ownership) SEC Filing\\nFrom our Stock News Alerts App
Wed Jun 13 21:27:01 +0000 2018,$CSCO Cisco Systems Inc. Option Order Flow Sentiment is 69.6% Bullish. https://t.co/jj4QGebKlQ
Wed Jun 13 21:14:01 +0000 2018,\\
Wed Jun 13 20:38:13 +0000 2018,"Cisco Systems, Inc. (CSCO) Eye Catching Volume Move in Focus https://t.co/MhsY7tI8k3 $CSCO #stocks #stockmarket"
Wed Jun 13 17:24:39 +0000 2018,"RT @KenFaulkenberry: $CSCO Cisco Systems\\nValuation, Profitability, and Dividend Safety Scores.\\nStock Analysis: https://t.co/7KmonwQHpU \\n#di\\u2026"
Wed Jun 13 15:35:29 +0000 2018,Cisco Systems $CSCO market alert: 4-week high @ 44.41 https://t.co/4FDrYUyJh1
Wed Jun 13 15:14:32 +0000 2018,RT @TSTRealMoney: Can a classic chart pattern propel Cisco Systems $CSCO stock to the upside? - @BruceKamich https://t.co/VCngE363TF https:\\u2026
Wed Jun 13 15:06:05 +0000 2018,Can a classic chart pattern propel Cisco Systems $CSCO stock to the upside? - @BruceKamich https://t.co/VCngE363TF https://t.co/eiqCjfWgTx
Wed Jun 13 13:11:27 +0000 2018,"$CSCO Cisco Systems\\nValuation, Profitability, and Dividend Safety Scores.\\nStock Analysis: https://t.co/7KmonwQHpU \\n#dividends #technology #valueinvesting #dividend #investing #stocks #AAAMP #DVB https://t.co/xzbVIJ7Wip"
Wed Jun 13 13:09:40 +0000 2018,Can a Classic Chart Pattern Propel Cisco Systems to the Upside? $CSCO https://t.co/Y3Z2JKnpxn https://t.co/Ng1TXsxNQM
Wed Jun 13 12:16:12 +0000 2018,Glistening Stock&amp;#39;s Review: Cisco Systems Inc (NASDAQ: CSCO) https://t.co/WFOG2n9L5U $CSCO #stocks #stockmarket
Wed Jun 13 10:19:22 +0000 2018,Cisco Systems $CSCO Stock Rating Reaffirmed by JPMorgan Chase &amp; Co. https://t.co/Rwma5lAIUn
Wed Jun 13 05:25:00 +0000 2018,Cisco Systems $CSCO Stock Rating Reaffirmed by JPMorgan Chase &amp; Co. https://t.co/lgbbwJjvAc
Wed Jun 13 03:15:25 +0000 2018,"Zacks: Brokerages Anticipate Cisco Systems, Inc. $CSCO to Announce $0.69 EPS https://t.co/2SOMzj7ZWn #stocks"
Wed Jun 13 03:13:36 +0000 2018,"Zacks: Brokerages Anticipate Cisco Systems, Inc. $CSCO to Announce $0.69 EPS https://t.co/WWzguykWjp"
Wed Jun 13 00:18:30 +0000 2018,"$CEO $CSCO $GOOG $GOOGL Cisco CEO says new Google Cloud partnership \'plays an enormous role\' in security, policy https://t.co/u6aDxEu2r3"
Wed Jun 13 00:05:00 +0000 2018,The ever-changing landscape of the cloud &gt; @CiscoCloud Aims to Deliver Hybrid Solution for @GoogleCloud This Fall https://t.co/ZdeGAUV0Kx $CSCO $GOOG
Wed Jun 13 07:01:22 +0000 2018,"AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the deal https://t.co/yRHPb7v59d by @dibartz @davidshepardson $T $TWX https://t.co/Jnm90S5GIR"
Wed Jun 13 12:30:07 +0000 2018,"AT&amp;T wins court approval to buy Time Warner, rebuffing an attempt by Trump\\u2019s administration to block the deal https://t.co/143CVRkF8C by @dibartz @davidshepardson $T $TWX https://t.co/iks0JoJK7A"
Wed Jun 13 11:38:03 +0000 2018,"In case your mind is too blown from the $T - $TWX news to check your email, consider this your reminder -- @JimCramer\\u2019s next @CramerClub call is TODAY at 11:30 ET. Be on it: https://t.co/8tdvoFY905 https://t.co/RlIla9RYMQ"
Wed Jun 13 23:53:27 +0000 2018,Vanity Fair: Zucker staying at CNN through \'20 election https://t.co/xxDFZcL8AT $T $TWX
Wed Jun 13 23:53:20 +0000 2018,RT @theflynews: REPORT: Comcast had talks with AT&amp;T about OTT digital streaming service: https://t.co/POA5zOhYKw $CMCSA $T $TWX $DISCA
Wed Jun 13 23:32:49 +0000 2018,RT @theflynews: REPORT: Comcast had talks with AT&amp;T about OTT digital streaming service: https://t.co/POA5zOhYKw $CMCSA $T $TWX $DISCA
Wed Jun 13 23:26:29 +0000 2018,Stankey integration awaits #ATTTimeWarner \\n\\n$T $WSJ \\u2066@JBFlint\\u2069 \\u2066@WSJ\\u2069 #media #hollywood  https://t.co/M4SJuCyKGF
Wed Jun 13 23:25:02 +0000 2018,Buy or Sell AT&amp;T Inc. Stock With Its 6% Dividend Yield? $T https://t.co/UfA1qt4xqh #dividend #investing https://t.co/ZSg8DOjsH1
Wed Jun 13 23:21:31 +0000 2018,RT @theflynews: REPORT: Comcast had talks with AT&amp;T about OTT digital streaming service: https://t.co/POA5zOhYKw $CMCSA $T $TWX $DISCA
Wed Jun 13 23:10:34 +0000 2018,"RT @juliecjd: $BVTK-   Dennis OLeary, CEO of DarkPulse, at Russia\'s largest mine! DarkPulse is also going to transform safety in this indus\\u2026"
Wed Jun 13 22:33:12 +0000 2018,"RT @fredmcclimans: As expected, the judge\\u2019s ruling in Justice Dept vs AT&amp;T/Time Warner has unleashed the M&amp;A hounds. Would Comcast have bid\\u2026"
Wed Jun 13 22:26:35 +0000 2018,RT @theflynews: REPORT: Comcast had talks with AT&amp;T about OTT digital streaming service: https://t.co/POA5zOhYKw $CMCSA $T $TWX $DISCA
Wed Jun 13 22:20:13 +0000 2018,@turnermw $T valued at $53-ish?
Wed Jun 13 22:19:52 +0000 2018,"As expected, the judge\\u2019s ruling in Justice Dept vs AT&amp;T/Time Warner has unleashed the M&amp;A hounds. Would Comcast have bid for 21st Century Fox w/ a different ruling? Not a chance. \\n\\nComcast Offers $65b for Fox in Showdown with Disney. $CMCSA $DIS $FOXA $T\\nhttps://t.co/hIq0Vwgyk0"
Wed Jun 13 22:13:26 +0000 2018,Todays Update: I made .19R on $T  &amp; lost .47R on $RH. Both bear intraday plays. Sitting at 5.729 R for June.
Wed Jun 13 21:50:55 +0000 2018,@jimcramer @BruceKamich Hi!  You\\u2019ve been commenting on the At&amp;t story but not suggesting what\\u2019s up with $T.  Looks like it gapped down and held support.  RSI is attractive now.  Core holding for me and I want to add on long term strength.  When are you gonna touch on this please?
Wed Jun 13 21:38:30 +0000 2018,RT @theflynews: REPORT: Comcast had talks with AT&amp;T about OTT digital streaming service: https://t.co/POA5zOhYKw $CMCSA $T $TWX $DISCA
Wed Jun 13 21:33:53 +0000 2018,"RT @ungarino: \\u201cIf pro forma AT&amp;T were a country, it would place 32nd on the list of highest total debt burdens, between Indonesia (at $335B\\u2026"
Wed Jun 13 21:23:20 +0000 2018,RT @theflynews: REPORT: Comcast had talks with AT&amp;T about OTT digital streaming service: https://t.co/POA5zOhYKw $CMCSA $T $TWX $DISCA
Wed Jun 13 21:21:00 +0000 2018,REPORT: Comcast had talks with AT&amp;T about OTT digital streaming service: https://t.co/POA5zOhYKw $CMCSA $T $TWX $DISCA
Wed Jun 13 21:17:31 +0000 2018,"RT @MarketFoolery: NB: We taped this before Comcast\'s bid for the Fox assets was made public. \\nA chat w/ @MArgersinger about AT&amp;T, Time War\\u2026"
Wed Jun 13 21:16:35 +0000 2018,"@SenWarren @TheJusticeDept @ATT @twxcorp Hey Pocahontas, Comcast already owns NBC, CNBC &amp; MSNBC; Why can\'t AT&amp;T own CNN, HBO &amp; TNT? Do you have a double standard? $T $TWX $CMCSA $FOX https://t.co/pic5OcST0j"
Wed Jun 13 21:12:55 +0000 2018,"$TWX Time Warner gain narrowed to 1.80% at the close, so glad sold earlier. Drop lower based on $T decline of 6.20% (see deal details). #ATT"
Wed Jun 13 21:12:52 +0000 2018,#AT&amp;T Win Lifts M&amp;A Target Stocks https://t.co/MyNHzCzRjQ via @BarronsOnline #TimeWarner  $T $TWX
Wed Jun 13 21:03:00 +0000 2018,$T Judge Allows AT&amp;Ts $85 Billion Time Warner Purchase (Audio) via https://t.co/jURZDymPXI
Wed Jun 13 21:02:08 +0000 2018,RT @carlquintanilla: Highest volume day for $T in at least 35 years \\u2014 on data going back to 1983 \\n\\n@CNBC https://t.co/MHGKk3eTcJ
Wed Jun 13 21:00:15 +0000 2018,"Does Verizon Really Pay the Typical Worker 60% More Than AT&amp;T? https://t.co/A2lJNo4Ss8\\nNew figures show differences in how firms operate, limitations of SEC disclosure requirements \\n#VZ $T #telecom https://t.co/Mtpe0dlzVI"
Wed Jun 13 20:59:32 +0000 2018,"NB: We taped this before Comcast\'s bid for the Fox assets was made public. \\nA chat w/ @MArgersinger about AT&amp;T, Time Warner, and the many ripple effects from this $85B deal.\\nhttps://t.co/MLh8MIcWX5\\n$T $DIS $FOX $CMCSA $NFLX"
Wed Jun 13 20:49:23 +0000 2018,"Traded $AAPL today to lower my cost basis by a $1.\\n\\nThis market is really worrying me. Think there will soon be some great buying opportunities. Mega-mergers usually mean at least a short-term top. $FOXA, $CMCSA, $DIS, $T, $TWX\\n\\nCurrent holdings: $AAPL, $LUV (75% cash)"
Wed Jun 13 20:41:08 +0000 2018,Vanity Fair: Zucker staying at CNN through \'20 election https://t.co/i84FlULs6z $T $TWX
Wed Jun 13 20:41:08 +0000 2018,Vanity Fair: Zucker staying at CNN through \'20 election https://t.co/pVgUwOzuJe $T $TWX
Wed Jun 13 20:34:14 +0000 2018,Fitch Says AT&amp;T/Time Warner Deal \'Will Become Litmus Test For Vertical M&amp;A\' $T $TWX
Wed Jun 13 20:33:26 +0000 2018,$T $TIME $TWX What the AT&amp;T-Time Warner decision means for you https://t.co/vfTJoE2qGx
Wed Jun 13 20:33:24 +0000 2018,$T $TIME $TWX Why the AT&amp;T-Time Warner merger could be bad news for consumers https://t.co/x5U98nJTk4
Wed Jun 13 20:33:16 +0000 2018,"$T $TIME $TWX Time Warner won\'t save AT&amp;T from \'continued erosion\' in core businesses, says analyst https://t.co/CUymG5pEu0"
Wed Jun 13 20:32:51 +0000 2018,"$T is active on the market, #trading at $32.22 (-6.20%)  Check out our #sentiment analysis tool free: https://t.co/GvMdw1aUkZ #investing"
Wed Jun 13 20:31:05 +0000 2018,"Also from @nolter, a look at $T\'s next battle after defeating @JusticeATR in its acquisition of $TWX. After DOJ, AT&amp;T to Take On Facebook, Google \\ud83d\\udd12https://t.co/xuUkZbqrun @ATT"
Wed Jun 13 20:30:14 +0000 2018,"$T Down 6.0% Today.\\nAT&amp;T (Dividend Aristocrat)\\nValuation, Profitability, and Dividend Safety Scores.\\nStock Analysis:\\nhttps://t.co/yQQGRFx2qG\\n#dividends #aristocrat #champion #cashflow #highyield #telecommunications #dividend #investing #DVB #AAAMP https://t.co/apeXYz0H1t"
Wed Jun 13 20:28:31 +0000 2018,"RT @juliecjd: $BVTK-   Dennis OLeary, CEO of DarkPulse, at Russia\'s largest mine! DarkPulse is also going to transform safety in this indus\\u2026"
Wed Jun 13 20:23:50 +0000 2018,$T BREAKS KEY SUPPORT LEVEL: https://t.co/fHI6HmTowW\\nSentiment: Bearish #T #AT&amp;T
Wed Jun 13 20:18:12 +0000 2018,$AMZN $NFLX $T $TIME $TWX AT&amp;T-Time Warner decision offers up a sigh of relief for companies threatened by tech changes https://t.co/vyCaH97hn7
Wed Jun 13 20:14:18 +0000 2018,"AT&amp;T did 540,000 trades today ... you don\'t see that too often. $T"
Wed Jun 13 20:08:55 +0000 2018,RT @carlquintanilla: Highest volume day for $T in at least 35 years \\u2014 on data going back to 1983 \\n\\n@CNBC https://t.co/MHGKk3eTcJ
Wed Jun 13 20:08:38 +0000 2018,RT @carlquintanilla: Highest volume day for $T in at least 35 years \\u2014 on data going back to 1983 \\n\\n@CNBC https://t.co/MHGKk3eTcJ
Wed Jun 13 20:07:20 +0000 2018,"RT @SumZero: Apropos of the $T merger approval, SumZero\'s latest writeup on $GLIBA offers a way to own $CHTR at a 50%+ discount: https://t.\\u2026"
Wed Jun 13 20:07:07 +0000 2018,Highest volume day for $T in at least 35 years \\u2014 on data going back to 1983 \\n\\n@CNBC https://t.co/MHGKk3eTcJ
Wed Jun 13 19:58:34 +0000 2018,"RT @Reuters: AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the deal\\u2026"
Wed Jun 13 19:58:03 +0000 2018,RT @EllesEconomy: Join me at 4ET on @FoxBusiness @AftertheBell with @CapitalistPig_  to talk #Fed &amp; $T $TWX merger and more!
Wed Jun 13 19:58:01 +0000 2018,$TWX $T Tara Lachapelle on the Implications of AT&amp;T-Time Warner via https://t.co/jURZDymPXI
Wed Jun 13 19:54:38 +0000 2018,Breaking down how AT&amp;T and Time Warner make money: https://t.co/VcjydFRuty $T $TWX by @nmeyersohn https://t.co/rdSFxF4tYL
Wed Jun 13 19:53:25 +0000 2018,Join me at 4ET on @FoxBusiness @AftertheBell with @CapitalistPig_  to talk #Fed &amp; $T $TWX merger and more!
Wed Jun 13 19:53:07 +0000 2018,The sell off in at&amp;t is absolutely insane. $T  you gotta be a buyer here. P/E 6.5
Wed Jun 13 19:52:19 +0000 2018,Moffett Nathanson Downgrades AT&amp;T $T to Sell https://t.co/sAKZxza99b #stocks
Wed Jun 13 19:48:01 +0000 2018,$TWX $T AT&amp;T-Time Warner Ruling Raises Questions on Vertical Deals via https://t.co/jURZDymPXI
Wed Jun 13 19:42:45 +0000 2018,"RT @ReutersBiz: AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the de\\u2026"
Wed Jun 13 19:30:16 +0000 2018,$T $TWX $CBS $VIA $DIS $CMCSA $AMZN $NFLX $EA $ATVI --- CONTENT IS KING !!! OWN CONTENT !!! see --- AT&amp;T-Time Warner Merger Approved https://t.co/gRRPCXvaiP via @variety
Wed Jun 13 19:19:27 +0000 2018,"RT @CarlMuhlstein: Inspired by new friends of global totalitarian dictatorships, @POTUS takes aim at #freepress after #JusticeDepartment de\\u2026"
Wed Jun 13 19:19:09 +0000 2018,AT&amp;T Set to Close Merger With Klarman\\u2019s Time Warner - https://t.co/AVW6OH9iOW https://t.co/nDcGGy2ChW $T $TWX $DIS $FOX $FOXA $CMCSA $NFLX
Wed Jun 13 19:17:18 +0000 2018,RT @RichBTIG: The most important takeaway from AT&amp;T Time Warner decision that nobody is talking about \\u2014&gt;\\n\\u201cAT&amp;T Wants To Give Video Away for\\u2026
Wed Jun 13 19:15:10 +0000 2018,RT @OptionsAction: Here\\u2019s how @Michael_Khouw is playing $T ahead of the AT&amp;T-Time Warner decision https://t.co/B3um0sWvpG
Wed Jun 13 19:09:13 +0000 2018,AT\\\\u0026T $T Receives Downgrade From Moffett Nathanson. Will Other Analysts Follow Suit? https://t.co/MmpeVE3vva
Wed Jun 13 19:08:35 +0000 2018,AT&amp;T $T Downgraded by Moffett Nathanson https://t.co/8x2UTskorG
Wed Jun 13 19:07:48 +0000 2018,"(1/2) Lord Abbett analyst Randy Reynolds: AT&amp;T-Time Warner ruling unlocks #MandA across #media &amp; distribution, teeing up innovative new svcs from network operators and direct-to-consumer #streaming offerings $T $TWX"
Wed Jun 13 19:05:36 +0000 2018,"RT @Reuters: AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the deal\\u2026"
Wed Jun 13 19:04:58 +0000 2018,"Judge\'s rebuke of @JusticeATR challenge of AT&amp;T $T, Time Warner $TWX was so harsh that this could be the last big #antitrust case of @POTUS 1st term. Via @thenation https://t.co/OFmOtzX4dK"
Wed Jun 13 18:41:57 +0000 2018,AT&amp;T $T Upgraded by Oppenheimer to \\u201cOutperform\\u201d https://t.co/R1mVZJCjVx #stocks
Wed Jun 13 18:41:28 +0000 2018,Going long on AT&amp;T $T merger should mean good things in long term. Lots of volatility in short term though.
Wed Jun 13 18:22:32 +0000 2018,AT&amp;T $T Raised to Outperform at Oppenheimer https://t.co/fJXIsEeaLs
Wed Jun 13 18:20:18 +0000 2018,"Apropos of the $T merger approval, SumZero\'s latest writeup on $GLIBA offers a way to own $CHTR at a 50%+ discount: https://t.co/BDypJnf5fK https://t.co/so9DomftLq"
Wed Jun 13 18:20:06 +0000 2018,"Don\'t worry $T longs; the value guys are slow to move, but they\'ll buy more; look at the FCF yield; this is when @WarrenBuffett buys $TWX $VZ $CMCSA $SIRI"
Wed Jun 13 18:19:34 +0000 2018,AT&amp;T $T Raised to Outperform at Oppenheimer https://t.co/Wy2WXr20Rw
Wed Jun 13 18:13:23 +0000 2018,Would love to see the compensation figures for AT&amp;T and Time Warner\'s lawyers this year $T $TWX
Wed Jun 13 18:12:30 +0000 2018,$T - major selling pressure selling at 8ema zone.  Will wait for reversal.
Wed Jun 13 18:11:45 +0000 2018,In for $T at 32.52. Love growth opportunity +healthy 6% div. At 5 yr low. https://t.co/baCu0txAsI
Wed Jun 13 18:08:01 +0000 2018,$TWX $T What AT&amp;T\'s DOJ Victory Means for the Future of Antitrust Law via https://t.co/jURZDymPXI
Wed Jun 13 17:57:15 +0000 2018,Judge Approves AT&amp;T\\u2013Time Warner Merger: Disney and Fox Next? $T $TWX $DIS $CMCSA $FOXA https://t.co/p8dJQiLiuX https://t.co/nwzD96ZWTO
Wed Jun 13 17:55:11 +0000 2018,AT&amp;T Inc. | $T | SHORT - #T chart https://t.co/5lFoDyQYTN
Wed Jun 13 17:52:13 +0000 2018,"RT @Reuters: AT&amp;T wins court approval to buy Time Warner, rebuffing an attempt by Trump\\u2019s administration to block the deal https://t.co/143\\u2026"
Wed Jun 13 17:50:02 +0000 2018,AT&amp;T: Don\'t Delay $T https://t.co/upHS7qcvL2
Wed Jun 13 17:49:52 +0000 2018,Hearing AT&amp;T $T upgraded to Outperform from Perform at Oppenheimer
Wed Jun 13 17:43:35 +0000 2018,Don\'t forget about AT&amp;T\'s FCF yield; they should buy back a ton of stock &amp; fuck the shorts $T $TWX $SIRI $VZ $CMCSA $CHTR $DISH $S $TMUS
Wed Jun 13 17:33:05 +0000 2018,AT&amp;T $T Raised to \\u201cOutperform\\u201d at UBS Group https://t.co/6uaVbIHlDh #stocks
Wed Jun 13 17:32:26 +0000 2018,RT @eventdrivennews: Our own @NilsTracy spoke to @Reuters about yesterday\'s $TWX / $T decision: \\
Wed Jun 13 17:27:01 +0000 2018,$T AT&amp;T Inc. Option Order Flow Sentiment has Shifted from Bullish to Bearish. https://t.co/oSuGSDJuCz
Wed Jun 13 17:26:51 +0000 2018,"RT @Reuters: AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the deal\\u2026"
Wed Jun 13 17:26:50 +0000 2018,AT&amp;T $T Upgraded at UBS Group https://t.co/sq374P6Uv6
Wed Jun 13 17:23:33 +0000 2018,StockTwits Trending Alert: Trading recent interest in AT&amp;T\\u00a0$T https://t.co/Uhq2QkR93B https://t.co/RP4pqtAV2p
Wed Jun 13 17:22:32 +0000 2018,RT @ZolmaxNews: AT&amp;T $T Upgraded at UBS Group https://t.co/6l2ww5SH7k
Wed Jun 13 17:22:00 +0000 2018,RT @ZolmaxNews: AT&amp;T $T Upgraded at UBS Group https://t.co/6l2ww5SH7k
Wed Jun 13 17:21:46 +0000 2018,AT&amp;T $T Upgraded at UBS Group https://t.co/6l2ww5SH7k
Wed Jun 13 17:20:26 +0000 2018,"After AT&amp;T ruling, US stocks are mixed ahead of Fed meeting $HRB $CI $CVS $AET $T $DISH $S $TWX https://t.co/pHftj1ac7V via @Barchart"
Wed Jun 13 17:20:08 +0000 2018,First Light Asset Management Upped Holding in Heron Therapeutics $HRTX; At&amp;T $T Stake Has Raised by Wright Investors Service Inc - https://t.co/9V5GRRgY9J
Wed Jun 13 17:20:04 +0000 2018,Judge Leon\\u2019s ruling on AT&amp;T/TimeWarner $T \\nhttps://t.co/GU83muQs3k https://t.co/jpazjLmfD2
Wed Jun 13 17:11:10 +0000 2018,AT&amp;T: Don\'t Delay $T https://t.co/NaR4daqIkJ
Wed Jun 13 17:05:12 +0000 2018,RT @gentlemaninvstr: Good news for AT&amp;T $T. May increase my position soon
Wed Jun 13 17:01:36 +0000 2018,AT&amp;T-TWX Deal Approval to Spark M&amp;A Frenzy: 4 ETFs to Profit $MNA $MRGR $IEME $PBS Also $C $CBS $DIS $S $T $TWX https://t.co/f4MkeOqNqU
Wed Jun 13 16:58:45 +0000 2018,"AT&amp;T\'s $85 Billion Acquisition for Time Warner is Approved\\n#FederalJudge, $ATT, $NYSE, #NewYorkStockExchange, $T, #acquisition, #TimeWarner, $TWX, #Media, #RichardLeon, #CNBC,... https://t.co/guLxkJaKRR"
Wed Jun 13 16:55:36 +0000 2018,"On the flip side, Oppenheimer\'s Tim Horan upgrades AT&amp;T to \\"
Wed Jun 13 16:44:25 +0000 2018,"$T With or Without Time Warner, AT&amp;T Stock Isn\\u2019t Worth Buying https://t.co/aWrZ7HnrZG $TWX $SPY $GLD $SLV $QQQ $DIA $DJIA $IWM $TLT $EEM $ETH $BTC $LTC $XRP #stockmarket #commodities #investing #finance #stocks #gold #silver #bonds #bitcoin"
Wed Jun 13 16:39:39 +0000 2018,"#Media: With all of the noise/clutter around the AT&amp;T-Time Warner court decision, let\'s not forget that #Fox is the \\"
Wed Jun 13 16:32:28 +0000 2018,AT&amp;T Inc.: Heavy volume for AT&amp;T stock. $T https://t.co/fhHBWm188K https://t.co/1VQei4HUwY
