Tue Jun 19 23:29:04 +0000 2018,"Insider Selling: Walmart Inc $WMT Director Sells 760,377 Shares of Stock https://t.co/SeOnoxJgzQ"
Tue Jun 19 12:41:06 +0000 2018,"AT&amp;T promises fewer ads, tailored programing after merger https://t.co/FmB0CEl0Bn by @LARichwine $T https://t.co/ctYE1s33zg"
Tue Jun 19 12:36:43 +0000 2018,RT @carlquintanilla: JPMorgan cuts AT&amp;T to neutral on \\
Tue Jun 19 12:34:54 +0000 2018,JPMorgan cuts AT&amp;T to neutral on \\
Tue Jun 19 12:26:53 +0000 2018,"RT @ReutersBiz: AT&amp;T promises fewer ads, tailored programing after merger https://t.co/l4wmvMEIAY via @LARichwine $T https://t.co/cwJMfpFlvu"
Tue Jun 19 12:25:55 +0000 2018,"RT @Reuters: AT&amp;T promises fewer commercials, smaller channel bundles and personalized programming after Time Warner mega-merger https://t.\\u2026"
Tue Jun 19 12:25:10 +0000 2018,What does the merger of AT&amp;T and Time Warner tell us about the media industry &amp; the M&amp;A outlook in general? See our blog for the latest: https://t.co/ngFN5QMdde $T $TWX https://t.co/ZbfxQnskK4
Tue Jun 19 12:14:05 +0000 2018,$INSG should pick up a ton of business at $T $VOD $s $tmus due to zte and huawei.  Already work with $VZ on 5g and hotspots
Tue Jun 19 12:12:56 +0000 2018,"RT @ReutersBiz: AT&amp;T promises fewer ads, tailored programing after merger https://t.co/l4wmvMEIAY via @LARichwine $T https://t.co/cwJMfpFlvu"
Tue Jun 19 12:09:23 +0000 2018,"RT @ReutersBiz: AT&amp;T promises fewer ads, tailored programing after merger https://t.co/l4wmvMEIAY via @LARichwine $T https://t.co/cwJMfpFlvu"
Tue Jun 19 12:04:16 +0000 2018,"RT @ReutersBiz: AT&amp;T promises fewer ads, tailored programing after merger https://t.co/l4wmvMEIAY via @LARichwine $T https://t.co/cwJMfpFlvu"
Tue Jun 19 12:03:59 +0000 2018,"RT @ReutersBiz: AT&amp;T promises fewer ads, tailored programing after merger https://t.co/l4wmvMEIAY via @LARichwine $T https://t.co/cwJMfpFlvu"
Tue Jun 19 12:03:58 +0000 2018,"AT&amp;T promises fewer ads, tailored programing after merger https://t.co/l4wmvMEIAY via @LARichwine $T https://t.co/cwJMfpFlvu"
Tue Jun 19 11:37:58 +0000 2018,"JP Morgan Reinstates Neutral on AT&amp;T, Announces $36 $T #Profesty"
Tue Jun 19 11:18:02 +0000 2018,Buy or Sell AT&amp;T Inc. Stock With Its 6% Dividend #Yield? $T https://t.co/UfA1qt4xqh #dividend #investing https://t.co/UdPDLwUOTN
Tue Jun 19 10:59:16 +0000 2018,"Starbucks $SBUX Shareholder Fiduciary Financial Services Of The Southwest Has Trimmed Its Position by $321,081; At&amp;T $T Holder Portland Investment Counsel Cut Position - https://t.co/245CXKyZYx"
Tue Jun 19 10:39:39 +0000 2018,Carnegie Capital Asset Management Holding in Ares Cap $ARCC Lowered as Share Value Rose; Meyer Handelman Co Raised Its At &amp; T $T Position - https://t.co/77NqlkGdlC
Tue Jun 19 10:24:50 +0000 2018,"RT @Reuters: AT&amp;T promises fewer commercials, smaller channel bundles and personalized programming after Time Warner mega-merger https://t.\\u2026"
