Sat Jun 09 21:17:27 +0000 2018,Costco Wholesale $COST &amp; Walmart $WMT Financial Analysis https://t.co/Ws2ml4lbPh #stocks
Sat Jun 09 18:09:51 +0000 2018,At least $DISH has FDD spectrum; it looks like using both TDD &amp; FDD in a 5G handset will be problematic for a WWAN $VZ $T $S $TMUS $CMCSA $CHTR
Sat Jun 09 15:31:03 +0000 2018,Buy or Sell AT&amp;T Inc. Stock With Its 6% Dividend #Yield? $T https://t.co/UfA1qt4xqh #dividend #investing https://t.co/wXngQwsuFd
Sat Jun 09 14:57:39 +0000 2018,AT&amp;T $T Rating Lowered to Hold at Jefferies Group https://t.co/FRmVTkiZWR
Sat Jun 09 10:19:57 +0000 2018,AT&amp;T Inc. Expected to Earn Q4 2018 Earnings of $0.75 Per Share $T https://t.co/A4LFZ9jXUF
Sat Jun 09 09:32:15 +0000 2018,"RT @NewYorkbuffett: AT&amp;T: Ignore The Noise, Follow The Fundamentals https://t.co/KMJ6XaEnUT $T"
Sat Jun 09 08:32:56 +0000 2018,"AT&amp;T: Ignore The Noise, Follow The Fundamentals https://t.co/KMJ6XaEnUT $T"
Sat Jun 09 08:23:11 +0000 2018,"RT @OptionsAction: Here\'s how @Michael_Khouw is trading $T ahead of the looming AT&amp;T, Time Warner verdict next week https://t.co/LCgn9gt44h"
Sat Jun 09 08:14:31 +0000 2018,AT&amp;T $T Rating Lowered to Hold at Jefferies Group https://t.co/NgQ4ycigvv
Sat Jun 09 07:01:16 +0000 2018,"Here\'s how Michael_Khouw is trading $T ahead of the looming AT&amp;T, Time Warner verdict next week https://t.co/UNdIbY0D9B\\n\\n\\u2014 Options Action (OptionsAction) June 8, 2018\\n\\n#Merchant #Cash #Advance #BsaFunds #Business"
Sat Jun 09 06:43:09 +0000 2018,"RT @OptionsAction: Here\'s how @Michael_Khouw is trading $T ahead of the looming AT&amp;T, Time Warner verdict next week https://t.co/LCgn9gt44h"
Sat Jun 09 06:33:01 +0000 2018,Buy or Sell AT&amp;T Inc. Stock With Its 6% Dividend Yield? $T https://t.co/UfA1qt4xqh #dividend #investing https://t.co/dfbGWqx9sB
Sat Jun 09 05:53:48 +0000 2018,AT&amp;T Inc. Expected to Earn Q4 2018 Earnings of $0.75 Per Share $T https://t.co/3ZcbUBwRGE
Sat Jun 09 05:52:57 +0000 2018,AT&amp;T Inc. Expected to Earn Q4 2018 Earnings of $0.75 Per Share $T https://t.co/ToatYqVdaf
Sat Jun 09 04:30:41 +0000 2018,"AT&amp;T\'s bid for Time Warner makes sense, says analyst. Here\'s why $T https://t.co/QGMq8Li4VI"
Sat Jun 09 02:23:02 +0000 2018,AT&amp;T hikes prices again on \'grandfathered\' unlimited users https://t.co/ntpzB1SEtY $T
Sat Jun 09 02:09:55 +0000 2018,"@FreeTrader817 Best way to play $T assuming sig. move up or down w/ Jun 22 exps? I currently have Jun 22 32Cs at 0.91 worth 2.00, Jun 29 32Cs at 1.07 -&gt; 2.05, Jan 19 18 33Cs at 1.48 -&gt; 2.21, and Jan 19 18 34Cs at 1.15 -&gt; 1.74. Looking to protect gains, but capitalize on big move."
Sat Jun 09 01:48:31 +0000 2018,Investors Sell AT&amp;T $T on Strength $T https://t.co/J73UZ2DfHf
Sat Jun 09 01:48:13 +0000 2018,Traders Sell AT&amp;T $T on Strength $T https://t.co/qfJ4vNcg7P
Sat Jun 09 01:21:19 +0000 2018,"$T $TIME $TWX U.S. Justice Department, AT&amp;T await nail-biter of a court decision https://t.co/T7vJ5hbwHn"
Sat Jun 09 01:18:02 +0000 2018,Short sale volume (not short interest) for $CHTR at 2018-06-08 is 39%. https://t.co/fixtGaDoaV $CMCSA 35% $DISH 52% $T 71% $VZ 44%
Sat Jun 09 01:16:42 +0000 2018,RT @YahooFinance: Why the Time Warner deal could be \'uniquely significant\' for AT&amp;T\'s CEO $T $TWX https://t.co/9zkltqn7Cw by @esfuchs https\\u2026
Sat Jun 09 01:15:44 +0000 2018,RT @YahooFinance: Why the Time Warner deal could be \'uniquely significant\' for AT&amp;T\'s CEO $T $TWX https://t.co/9zkltqn7Cw by @esfuchs https\\u2026
Sat Jun 09 01:15:07 +0000 2018,Why the Time Warner deal could be \'uniquely significant\' for AT&amp;T\'s CEO $T $TWX https://t.co/9zkltqn7Cw by @esfuchs https://t.co/78vzGOvPDG
Sat Jun 09 20:31:28 +0000 2018,Traders Buy Alibaba Group $BABA on Weakness https://t.co/koLS6UopQb
Sat Jun 09 20:28:39 +0000 2018,Investors Buy Alibaba Group $BABA on Weakness https://t.co/QCnlPkiLuf
Sat Jun 09 17:03:07 +0000 2018,RT @callZimm: Top 100 Most Valuable Global Brands. Tencent and Alibaba rank in the Top 10. Additional Chinese brands in top risers list. In\\u2026
Sat Jun 09 16:25:36 +0000 2018,Zacks: Analysts Expect Alibaba Group Holding Ltd $BABA Will Post Quarterly Sales of $13.09 Billion https://t.co/lEff55zaEd
Sat Jun 09 15:22:02 +0000 2018,"Top 100 Most Valuable Global Brands. Tencent and Alibaba rank in the Top 10. Additional Chinese brands in top risers list. In the early 2000\'s when I first moved to China, China Mobile was one of the only brands anyone had ever heard of.\\n\\n$baba $jd $tcehy https://t.co/gfgr0OZlq8"
Sat Jun 09 15:04:42 +0000 2018,Zacks: Analysts Expect Alibaba Group Holding Ltd $BABA Will Post Quarterly Sales of $13.09 Billion https://t.co/VyJ585shwv
Sat Jun 09 14:56:32 +0000 2018,Great summary from @IntrinsicInv on recent NYTimes article on Tencent and Alibaba. $TCEHY $BABA https://t.co/cfF1KyRpdB https://t.co/m4m4Akr5Zd
Sat Jun 09 08:45:41 +0000 2018,Alibaba Group $BABA Price Target Raised to $305.00 at Susquehanna Bancshares https://t.co/ZKI9o18cJG
Sat Jun 09 05:58:10 +0000 2018,Head to Head Review: Alibaba Group $BABA &amp; TechTarget $TTGT https://t.co/NKsQv0VVa0
Sat Jun 09 02:09:59 +0000 2018,"RT @readkrystalhu: Short sellers back off from Alibaba a bit as the stock hits an all-time high, @S3Partners data shows. $baba https://t.co\\u2026"
Sat Jun 09 00:00:00 +0000 2018,Alibaba vs Amazon: Are Both of Them Buys? $BABA $AMZN https://t.co/YO5htl1282 via @Barronsonline
Sat Jun 09 23:36:09 +0000 2018,RT @corpgovnet: Microsoft does these 2 things to stay out of trouble. Facebook should try them https://t.co/dhj0TfEia5 Excellent @JonasKron\\u2026
Sat Jun 09 23:32:06 +0000 2018,"Facebook, Inc. Common Stock $FB Expected to Announce Quarterly Sales of $13.39 Billion https://t.co/bifoo88H4l"
Sat Jun 09 23:28:02 +0000 2018,"Facebook, Inc. Common Stock $FB Expected to Announce Quarterly Sales of $13.39 Billion https://t.co/K5S3w6kzbj"
Sat Jun 09 23:23:12 +0000 2018,Microsoft does these 2 things to stay out of trouble. Facebook should try them https://t.co/dhj0TfEia5 Excellent @JonasKron Also no dual-class shares. That yields independent board at $MSFT 81% indep shares voted FOR at $FB mtg #corpgov #ESG
Sat Jun 09 21:29:04 +0000 2018,Comparing The Insane Growth Of Amazon And Facebook Stock $AMZN $FB https://t.co/AfACkPDpQx
Sat Jun 09 21:05:49 +0000 2018,A week of Facebook scandals puts the company in the hot seat https://t.co/tkzW68gCW8  via @YouTube $fb
Sat Jun 09 20:58:56 +0000 2018,"RT @drastichs: #Zuckerberg lies to #congres &amp; #European #Union #Parliament #EU, but now also\\n\\n#Facebook #investors lodge #protest vote agai\\u2026"
Sat Jun 09 20:49:44 +0000 2018,@drastichs It was the 7 day flu. Give this $fb @facebook hate a rest already.
Sat Jun 09 20:47:59 +0000 2018,"RT @drastichs: #Zuckerberg lies to #congres &amp; #European #Union #Parliament #EU, but now also\\n\\n#Facebook #investors lodge #protest vote agai\\u2026"
Sat Jun 09 20:47:48 +0000 2018,RT @drastichs: #Zuckerberg was #investigated for #political #content #interference.\\nHis latest plan is political content interference based\\u2026
Sat Jun 09 20:08:31 +0000 2018,"RT @jchengery: #Facebook aware of users\' concerns, plan to do better job of educating users, giving them full control over #advertising exp\\u2026"
Sat Jun 09 19:43:05 +0000 2018,"RT @Mangy_Dog: @randyprine @washingtonpost @nytimes @TheEconomist @NewYorker Alternatively, Facebook should suspend operations until after\\u2026"
Sat Jun 09 19:41:36 +0000 2018,"@randyprine @washingtonpost @nytimes @TheEconomist @NewYorker Alternatively, Facebook should suspend operations until after the election. $FB"
Sat Jun 09 19:09:34 +0000 2018,RT @RedStateMojo: Boycott these companies that put left-wing politics ahead of their product:\\n\\n@Disney $DIS\\n@ESPN\\n@ABC\\n@Facebook $fb\\n@Amazo\\u2026
Sat Jun 09 19:06:11 +0000 2018,RT @DowdEdward: $FB \\u201cFacebook gave some companies access to user records well after the point in 2015 when social network said it had cut t\\u2026
Sat Jun 09 18:55:23 +0000 2018,RT @RedStateMojo: Boycott these companies that put left-wing politics ahead of their product:\\n\\n@Disney $DIS\\n@ESPN\\n@ABC\\n@Facebook $fb\\n@Amazo\\u2026
Sat Jun 09 18:53:09 +0000 2018,RT @RedStateMojo: Boycott these companies that put left-wing politics ahead of their product:\\n\\n@Disney $DIS\\n@ESPN\\n@ABC\\n@Facebook $fb\\n@Amazo\\u2026
Sat Jun 09 18:49:43 +0000 2018,Boycott these companies that put left-wing politics ahead of their product:\\n\\n@Disney $DIS\\n@ESPN\\n@ABC\\n@Facebook $fb\\n@Amazon $amzn\\n@CNN\\n@Starbucks $sbux\\n@Google $googl\\n@Apple $aapl\\n@Netflix $nflx\\n@Expedia $expe\\n@NFL\\n@TripAdvisor $trip\\n@Hulu $hulu\\n\\n#tcot #kag #maga
Sat Jun 09 18:47:02 +0000 2018,"RT @jimcramer: Another day, another New York Times story about whom Facebook gave our data. One day it will dawn on the Times that the more\\u2026"
Sat Jun 09 18:39:41 +0000 2018,RT @ReutersBiz: .@Breakingviews @johnsfoley says Facebook shareholders aren\\u2019t using their power properly. Listen: https://t.co/QnHx9Ayezw $\\u2026
Sat Jun 09 18:38:42 +0000 2018,RT @ZoZoStockwatch: $FB Facebook gave some companies access to additional data about users\\u2019 friends https://t.co/zFmTlHf7KM via @WSJ
Sat Jun 09 18:22:15 +0000 2018,RT @ReutersBiz: .@Breakingviews @johnsfoley says Facebook shareholders aren\\u2019t using their power properly. Listen: https://t.co/QnHx9Ayezw $\\u2026
Sat Jun 09 18:14:22 +0000 2018,RT @ReutersBiz: .@Breakingviews @johnsfoley says Facebook shareholders aren\\u2019t using their power properly. Listen: https://t.co/QnHx9Ayezw $\\u2026
Sat Jun 09 18:00:04 +0000 2018,"Colin Stretch Sells 750 Shares of Facebook, Inc. Common Stock $FB Stock https://t.co/ds449yEVyN"
Sat Jun 09 17:49:08 +0000 2018,"#GoldenCross $FB at 100.00 R  HiLo -88% T1Y 220 buy 1.8 PE 31.3 DIV N/A #Facebook, https://t.co/asFAfeHBN1"
Sat Jun 09 17:46:05 +0000 2018,Facebook bug set 14 million users\' sharing settings to public https://t.co/xmKHLcIon8 $FB https://t.co/r40pYm4Bra
Sat Jun 09 17:45:48 +0000 2018,"#GoldenCross $FB at 100.00 R  HiLo -88% T1Y 220 buy 1.8 PE 31.3 DIV N/A #Facebook, https://t.co/KsV8bAZOnL"
Sat Jun 09 17:43:36 +0000 2018,"#GoldenCross $FB at 100.00 R  HiLo -88% T1Y 220 buy 1.8 PE 31.3 DIV N/A #Facebook, https://t.co/yewpnpyQGJ"
Sat Jun 09 17:41:26 +0000 2018,"#GoldenCross $FB at 100.00 R  HiLo -88% T1Y 220 buy 1.8 PE 31.3 DIV N/A #Facebook, https://t.co/kjUvvJYPPB"
Sat Jun 09 17:39:41 +0000 2018,"#GoldenCross $FB at 100.00 R  HiLo -88% T1Y 220 buy 1.8 PE 31.3 DIV N/A #Facebook, https://t.co/FdpCide0mS"
Sat Jun 09 17:36:37 +0000 2018,"#GoldenCross $FB at 100.00 R  HiLo -88% T1Y 220 buy 1.8 PE 31.3 DIV N/A #Facebook, https://t.co/bYvxY3KKSN"
Sat Jun 09 17:30:05 +0000 2018,RT @ReutersBiz: .@Breakingviews @johnsfoley says Facebook shareholders aren\\u2019t using their power properly. Listen: https://t.co/QnHx9Ayezw $\\u2026
Sat Jun 09 17:28:02 +0000 2018,FACEBOOK INC (FB) rebotando en ma20  $FB https://t.co/4RdrV1QRzL
Sat Jun 09 17:22:14 +0000 2018,"Insider Selling: Facebook, Inc. Common Stock $FB VP Sells $143,250.00 in Stock https://t.co/IM10gXA7Ce"
Sat Jun 09 17:14:19 +0000 2018,RT @ReutersBiz: .@Breakingviews @johnsfoley says Facebook shareholders aren\\u2019t using their power properly. Listen: https://t.co/QnHx9Ayezw $\\u2026
Sat Jun 09 17:11:52 +0000 2018,RT @ReutersBiz: .@Breakingviews @johnsfoley says Facebook shareholders aren\\u2019t using their power properly. Listen: https://t.co/QnHx9Ayezw $\\u2026
Sat Jun 09 17:11:51 +0000 2018,.@Breakingviews @johnsfoley says Facebook shareholders aren\\u2019t using their power properly. Listen: https://t.co/QnHx9Ayezw $FB
Sat Jun 09 17:03:25 +0000 2018,RT @GerberKawasaki: Remember when I said on #CNBC that there was a lot more to this when it first broke. There is. $fb #Facebook @CNBCClosi\\u2026
Sat Jun 09 16:49:42 +0000 2018,RT @YahooFinance: Facebook shared user data with select companies $FB https://t.co/bDrfgUmYXY https://t.co/yPc36FA2Gy
Sat Jun 09 16:46:02 +0000 2018,RT @YahooFinance: Facebook shared user data with select companies $FB https://t.co/bDrfgUmYXY https://t.co/yPc36FA2Gy
Sat Jun 09 16:19:24 +0000 2018,RT @YahooFinance: Facebook shared user data with select companies $FB https://t.co/bDrfgUmYXY https://t.co/yPc36FA2Gy
Sat Jun 09 16:15:02 +0000 2018,Facebook shared user data with select companies $FB https://t.co/bDrfgUmYXY https://t.co/yPc36FA2Gy
Sat Jun 09 15:29:19 +0000 2018,"RT @GerberKawasaki: Twitter stock surging to new highs. With a 71 PE, no user growth and revenue under pressure. This little birds $30 bil\\u2026"
Sat Jun 09 15:27:12 +0000 2018,Facebooj is the enemy of freedom #Facebook $FB #delete
Sat Jun 09 15:12:09 +0000 2018,"Facebook, Inc. Common Stock $FB Lifted to Positive at OTR Global https://t.co/a5m4a2jO0I"
Sat Jun 09 14:18:07 +0000 2018,RT @businessinsider: Facebook says it accidentally let anybody read private posts from 14 million users $FB https://t.co/RY9taFN7Vn
Sat Jun 09 14:17:23 +0000 2018,"Contrasting TrueCar $TRUE and Facebook, Inc. Common Stock $FB https://t.co/jeKKjNgpVL"
Sat Jun 09 14:05:43 +0000 2018,The San Francisco tower housing Facebook\'s new HQ is being hailed as \'earthquake-proof\' \\u2014 here\'s why one of its engineers says that\'s not entirely true $FB https://t.co/aIEoTRnFdQ
Sat Jun 09 14:00:25 +0000 2018,RT @minzengwsj: $FB. A Facebook bug made private posts of up to 14 million users public. https://t.co/I1UhjTFyoL
Sat Jun 09 13:54:40 +0000 2018,RT @wsduckk: So Facebook is not your friend? \\ud83e\\udd14\\n\\n$FB https://t.co/laEXpnka3M
Sat Jun 09 13:52:23 +0000 2018,So Facebook is not your friend? \\ud83e\\udd14\\n\\n$FB https://t.co/laEXpnka3M
Sat Jun 09 13:48:39 +0000 2018,Facebook penalizes pro-Trump Diamond and Silk. ANOTHER Reason to Delete Your @Facebook. \\n\\n$fb #kag #tcot #maga
Sat Jun 09 13:33:11 +0000 2018,The technology industry\'s lull is giving us a chance to consider its impact on society \\u2014 while we still can $AAPL $MSFT $GOOGL $FB https://t.co/dpDTSfC8EK
Sat Jun 09 13:32:15 +0000 2018,RT @businessinsider: The technology industry\'s lull is giving us a chance to consider its impact on society \\u2014 while we still can $AAPL $MSF\\u2026
Sat Jun 09 13:30:44 +0000 2018,RT @businessinsider: The technology industry\'s lull is giving us a chance to consider its impact on society \\u2014 while we still can $AAPL $MSF\\u2026
Sat Jun 09 13:28:18 +0000 2018,RT @businessinsider: The technology industry\'s lull is giving us a chance to consider its impact on society \\u2014 while we still can $AAPL $MSF\\u2026
Sat Jun 09 13:27:47 +0000 2018,RT @businessinsider: The technology industry\'s lull is giving us a chance to consider its impact on society \\u2014 while we still can $AAPL $MSF\\u2026
Sat Jun 09 13:27:28 +0000 2018,RT @businessinsider: The technology industry\'s lull is giving us a chance to consider its impact on society \\u2014 while we still can $AAPL $MSF\\u2026
Sat Jun 09 13:25:54 +0000 2018,RT @businessinsider: The technology industry\'s lull is giving us a chance to consider its impact on society \\u2014 while we still can $AAPL $MSF\\u2026
Sat Jun 09 13:25:41 +0000 2018,RT @businessinsider: The technology industry\'s lull is giving us a chance to consider its impact on society \\u2014 while we still can $AAPL $MSF\\u2026
Sat Jun 09 13:25:41 +0000 2018,RT @businessinsider: The technology industry\'s lull is giving us a chance to consider its impact on society \\u2014 while we still can $AAPL $MSF\\u2026
Sat Jun 09 13:25:41 +0000 2018,RT @businessinsider: The technology industry\'s lull is giving us a chance to consider its impact on society \\u2014 while we still can $AAPL $MSF\\u2026
Sat Jun 09 13:25:39 +0000 2018,RT @businessinsider: The technology industry\'s lull is giving us a chance to consider its impact on society \\u2014 while we still can $AAPL $MSF\\u2026
Sat Jun 09 13:25:39 +0000 2018,The technology industry\'s lull is giving us a chance to consider its impact on society \\u2014 while we still can $AAPL $MSFT $GOOGL $FB https://t.co/lSIG39103S
Sat Jun 09 13:25:28 +0000 2018,people are always sooo in love with social media #stocks but why??? their #balancesheets with the exception of $FB (facebook) are beyond ugly...like Sears and $JCP ugly
Sat Jun 09 13:23:04 +0000 2018,RT @huronreport: Bowling Portfolio Management Boosted Facebook $FB Stake By $6.23 Million; COSTAS $CSSI Shorts Decreased By 36.36% - https:\\u2026
Sat Jun 09 13:16:44 +0000 2018,Oh boy. Facebook is going down! $fb #mayday go shorts!
Sat Jun 09 11:15:51 +0000 2018,Facebook adds new features for video game streaming \\nhttps://t.co/pCJb46sTFm via @CNET \\n#ForMidlifeGamers #LateToTheGame #ESports $FB
Sat Jun 09 11:09:17 +0000 2018,$FB Facebook Turns on Marketplace Monetization https://t.co/PeHYAXu6cQ
Sat Jun 09 11:09:15 +0000 2018,"$FB Facebook, Inc. Is Headed Higher \\u2014 Ignore the Macro Headline Noise https://t.co/V22qD9XmX4"
Sat Jun 09 11:09:11 +0000 2018,$FB Relax. Teens Aren\'t Fleeing Facebook https://t.co/UJJdTX72DR
Sat Jun 09 10:31:37 +0000 2018,RT @YahooFinance: Apple is going to war with Facebook\'s web trackers by $AAPL $FB https://t.co/1RnJ8EuYLd by @DanielHowley https://t.co/Non\\u2026
Sat Jun 09 10:14:41 +0000 2018,"Investors Buy Facebook, Inc. Common Stock $FB on Weakness After Insider Selling https://t.co/k1ghXlaf8I"
Sat Jun 09 09:42:38 +0000 2018,"Contrasting TrueCar $TRUE and Facebook, Inc. Common Stock $FB https://t.co/XsvcuzW6rh"
Sat Jun 09 09:17:43 +0000 2018,RT @YahooFinance: Apple is going to war with Facebook\'s web trackers by $AAPL $FB https://t.co/1RnJ8EuYLd by @DanielHowley https://t.co/Non\\u2026
Sat Jun 09 09:14:43 +0000 2018,RT @christiiineeee: Facebook trains its moderators in how a slew of different emojis can violate any number of the social network giant\\u2019s c\\u2026
Sat Jun 09 09:10:27 +0000 2018,RT @EghosaO: There Is No Justification for What Zuckerberg Did to WhatsApp https://t.co/6e0LRMsmhI\\n\\
Sat Jun 09 09:01:02 +0000 2018,Apple is going to war with Facebook\'s web trackers by $AAPL $FB https://t.co/1RnJ8EuYLd by @DanielHowley https://t.co/NonKA3LM3a
Sat Jun 09 08:54:29 +0000 2018,RT @DowdEdward: $FB \\u201cFacebook gave some companies access to user records well after the point in 2015 when social network said it had cut t\\u2026
Sat Jun 09 08:18:11 +0000 2018,#Apple #Microsoft $AAPL $MSFT $AMZN $FB https://t.co/v60kxRyqKZ
Sat Jun 09 08:14:16 +0000 2018,"Insider Selling: Facebook, Inc. Common Stock $FB CEO Sells $130,356,688.00 in Stock https://t.co/JvGFUAL6c3"
Sat Jun 09 08:02:33 +0000 2018,It\\u2019s happened Facebook $fb have finally started to monetize messenger saw this today another huge source of ad revenue potentially but if this comes to whatsapp im out or paying for an ad free version of it \\ud83d\\ude05 https://t.co/BgQHiNVRiy
Sat Jun 09 07:20:05 +0000 2018,Facebook $FB finally admits giving access to some private information https://t.co/SeIyORYe4W https://t.co/Ddwo9NCPb7
Sat Jun 09 07:01:21 +0000 2018,".Breakingviews: Why did two thirds of Facebook\'s independent shareholders re-elect Zuckerberg to the board despite $FB\\u2019s mounting problems? Here are johnsfoley jennifersaba and AntonyMCurrie on Viewsroom: https://t.co/W7VyoZkLBS\\n\\n\\u2014 Reuters Business (ReutersBiz) June 9, 2018\\n\\n#M\\u2026"
Sat Jun 09 06:35:56 +0000 2018,"Total Revenue: #Facebook, #Amazon, #Apple, #Netflix, #Google... \\n2010: $132 Billion \\n2018 (est): $707 billion \\n435% Increase \\n$FB $AMZN $AAPL $NFLX $QQQ $XLK \\nhttps://t.co/Qr7FyxR6ER"
Sat Jun 09 05:45:31 +0000 2018,"Investors Buy Facebook, Inc. Common Stock $FB on Weakness After Insider Selling https://t.co/Vqog9rc8n3"
Sat Jun 09 05:20:08 +0000 2018,Facebook gave data access to Chinese firm flagged by U.S. intelligence https://t.co/D1xCAmvW5m\\n #cybersecurity #facebook $fb
Sat Jun 09 05:15:41 +0000 2018,WSJ: Facebook gave some companies access to special user data after 2015 https://t.co/4I4sZ493Qf $FB
Sat Jun 09 03:58:48 +0000 2018,WSJ: Facebook gave some companies access to special user data after 2015 $FB https://t.co/6EZ1b51Oyk
Sat Jun 09 03:23:22 +0000 2018,RT @Reuters: .@Breakingviews: Why did two thirds of Facebook\'s independent shareholders re-elect Zuckerberg to the board despite $FB\\u2019s moun\\u2026
Sat Jun 09 03:14:40 +0000 2018,These @facebook ads ring more hollow each time... #NBAFinals $FB
Sat Jun 09 03:12:25 +0000 2018,"RT @Hotpage_News: Another day, another #Facebook privacy scandal $FB - https://t.co/WYd5kIyOxM"
Sat Jun 09 03:10:32 +0000 2018,"Another day, another #Facebook privacy scandal $FB - https://t.co/WYd5kIyOxM"
Sat Jun 09 03:08:27 +0000 2018,#Facebook job postings suggest it\\u2019ll start monitoring fake news $FB - https://t.co/1vANnwwu7T
Sat Jun 09 03:08:10 +0000 2018,RT @DrivingTheDay: Tech Review 1) @elonmusk Sticking To His Guns On Tesla Targets (video); 2) Digital Ad Spending Blows Past TV Advertising\\u2026
Sat Jun 09 02:54:09 +0000 2018,"RT @tpiwholesale: Oh, Is this True #MarkZuckerberg??? wow... TRILLION DOLLAR RIP-OFF?! \\n#FB #DeleteFaceBook #stocks #markets #Stockmarket $\\u2026"
Sat Jun 09 02:47:43 +0000 2018,RT @DrivingTheDay: Tech Review 1) @elonmusk Sticking To His Guns On Tesla Targets (video); 2) Digital Ad Spending Blows Past TV Advertising\\u2026
Sat Jun 09 02:36:39 +0000 2018,RT @Reuters: .@Breakingviews: Why did two thirds of Facebook\'s independent shareholders re-elect Zuckerberg to the board despite $FB\\u2019s moun\\u2026
Sat Jun 09 02:35:41 +0000 2018,RT @DrivingTheDay: Tech Review 1) @elonmusk Sticking To His Guns On Tesla Targets (video); 2) Digital Ad Spending Blows Past TV Advertising\\u2026
Sat Jun 09 02:34:09 +0000 2018,RT @DrivingTheDay: Tech Review 1) @elonmusk Sticking To His Guns On Tesla Targets (video); 2) Digital Ad Spending Blows Past TV Advertising\\u2026
